1,"Kraft, Dennis",LIGONIER / DCFC ,Central PA ,USA ,A17 ,A18 
2,"Ewart, Stephen",SWORDS / NOTREDAME ,Southern CA ,USA ,A18 ,
3T,"Ramirez, Yeisser",PETERWE ,Metro NYC ,USA ,A18 ,
3T,"Simmons, Ariel",NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,A18 
5,"Sherrill, Edward",NYAC ,Metro NYC ,USA ,A15 ,A18 
6,"Hadzic, Alen",STAMFORD F.C. ,Connecticut ,USA ,A17 ,A18 
7,"Temiryaev, Alan",NYFA ,Long Island ,USA ,A18 ,
8,"Moore, Shomari",PETERWE ,Metro NYC ,USA ,A16 ,A18 
9,"Lombardo, Theodore",NYAC / FAW ,West-Rock ,USA ,A18 ,
10,"Rodney, Adam",PETERWE ,Metro NYC ,USA ,A17 ,
11,"Kaull, James",NYAC / DCFC ,Metro NYC ,USA ,A18 ,
12,"Elgeziry, Omar",FRFC ,Colorado ,USA ,A14 ,
13,"Hoyle, Jacob",NYAC ,Metro NYC ,USA ,A18 ,
14,"Yergler, Jonathan",NYAC / SFFC ,Metro NYC ,USA ,A15 ,
15,"Piskovatskov, Anton",PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
16,"House, Alex",FENCERS ,New Jersey ,USA ,A17 ,
17,"Piskovatskov, Jonathan",ALLIANCE F.A. ,Gulf Coast ,USA ,A18 ,
18,"Hondor, Robert",OLYMPIA F. C. ,New England ,USA ,A17 ,
19,"Canaux, Gabriel",COLUMBF / NYAC ,New Jersey ,USA ,A18 ,
20,"Weiss, Lewis",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
21,"Zagoruiko, Ivan",UNAT / NORTHSFC ,Metro NYC ,USA ,A18 ,
22,"Bratton, Benjamin",PETERWE ,Metro NYC ,USA ,A17 ,
23,"McDowald, Curtis",PETERWE ,Metro NYC ,USA ,A17 ,
24,"De Guzman, Inaki",OSU VARSITY FENCING TEAM ,Virginia ,USA ,A18 ,
25,"Moody, James",,Colorado ,USA ,A16 ,
26,"Smith, Dwight",PETERWE ,Metro NYC ,USA ,A15 ,
27,"Maczik, Adam",MARX FENCING ,New England ,USA ,A18 ,
28,"Mecke, Cedric",NYAC ,Metro NYC ,USA ,A16 ,
29,"Nollner, Dylan",NYAC ,Metro NYC ,USA ,A16 ,
30,"Chmut, Anton",NYFA ,Metro NYC ,USA ,A17 ,
