1,"EWART, Stephen",SWORDS / NOTREDAME ,Southern CA ,USA ,A17 ,
2,"MCDOWALD, Curtis",,Metro NYC ,USA ,A17 ,
3T,"TSINIS, Alexander",,Metro NYC ,USA ,A17 ,
3T,"WEISS, Lewis",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
5,"ELASHRY, Zeyad",FSA ,Maryland ,USA ,A16 ,A17 
6,"SIMMONS, Ariel",NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
7,"HOYLE, Jacob",,Metro NYC ,USA ,A17 ,
8,"STRONG, Sean",,Southern CA ,USA ,A14 ,A17 
9,"BLAIS-BELANGER, Marc-Antoine",,,CAN ,A17 ,
10,"HERBST, Isaac",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
11,"HANAHAN, Nicholas",UNAT / NOTREDAME ,Indiana ,USA ,A17 ,
12,"SHERRILL, Edward",,Metro NYC ,USA ,A15 ,
13,"YOO, Justin",LAIFC ,Southern CA ,USA ,A17 ,
14T,"KOCH, Samuel",UNAT / GOLD GATE ,Northern CA ,USA ,A17 ,
14T,"KAULL, James",UNAT / DCFC ,Metro NYC ,USA ,A17 ,
16,"FAYEZ, Ayman",FSA ,Georgia ,EGY ,A17 ,
17,"WHITE, Sean",FENCERS ,Metro NYC ,USA ,A16 ,
18,"CANAUX, Gabriel",,New Jersey ,USA ,A17 ,
19,"WILSON, Sean",ALLIANCE F.A. ,Capitol ,USA ,A17 ,
20,"RODNEY, Adam",,Metro NYC ,USA ,A16 ,
21,"SHINDLER, Oliver",,Illinois ,USA ,A16 ,
22,"NOLLNER, Dylan",,Metro NYC ,USA ,A16 ,
23T,"BRATTON, Benjamin",,Metro NYC ,USA ,A17 ,
23T,"RAYNIS, Jake",LAIFC ,Southern CA ,USA ,A17 ,
25,"BISSINGER, Michael",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
26,"WIEDER, Benjamin",NYAC / MEDEO F.C. ,New Jersey ,USA ,B17 ,
27,"GUINAN, Joseph",,,USA ,B17 ,
28,"SLESS, Alexander",UIW FENCING CENTER ,South TX ,USA ,A17 ,
29,"JONES, Simon",MARX FENCING ,New England ,USA ,A16 ,
30,"ISRAELIAN, Marat",FENCERS / COBRA ,New Jersey ,ISR ,A17 ,
31,"TOLKACHEV, Denis",,Metro NYC ,RUS ,B17 ,
32,"FRENCH, Dylan",,,CAN ,A17 ,
33,"YERGLER, Jonathan",UNAT / SFFC ,Metro NYC ,USA ,A15 ,
34,"JOHNSON, Wesley",SF ,Utah-S.Idaho ,USA ,A17 ,
35,"FRANK, Timmy",NWFC ,Oregon ,USA ,A17 ,
36,"CHO, Jonah",LAIFC ,Orange Coast ,USA ,A17 ,
37,"PRYOR, Jason",,Colorado ,USA ,A17 ,
38,"ZILINSKIY, Eduard",TOUCHE / TEAMTOUCHE ,Central CA ,USA ,A17 ,
39,"SMITH, Dwight",,Metro NYC ,USA ,A15 ,
40,"SMOAK, Omari",,Metro NYC ,USA ,A17 ,
41,"MOORE, Shomari",STJOHNNCAA / PETERWE ,Metro NYC ,USA ,A16 ,
42,"WANG, Bowen",NCFDP / RTF ,N. Carolina ,CHN ,A17 ,
43,"COMES, Matthew",W.F.A. ,Western WA ,USA ,A17 ,
44,"KRAFT, Dennis",LIGONIER / DCFC ,Central PA ,USA ,A17 ,
45,"MACZIK, Adam",MARX FENCING ,New England ,USA ,A17 ,
46,"KIMATIAN, Harrison",HOF ,North TX ,USA ,A17 ,
47,"LANGE, Henry",,Oregon ,USA ,A17 ,
48,"VOLKMANN, Daniel",NWFC ,Oregon ,USA ,A17 ,
49,"RODELL, Clinton",UNAT / PSU ,Virginia ,USA ,A16 ,
50,"CROUSE, Wolfe",ALLIANCE F.A. ,Gulf Coast ,USA ,A16 ,
