1,"Simmons, Ariel",A17 / 12 ,NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
2,"Thompson, Soren",A14 / 86 ,NYAC ,Metro NYC ,USA ,6 ,1.00 ,29 ,14 ,+15 ,Advanced
3,"Wieder, Benjamin",B17 / 58 ,NYAC / MEDEO F.C. ,New Jersey ,USA ,6 ,1.00 ,29 ,17 ,+12 ,Advanced
4,"Yergler, Jonathan",A15 / 20 ,NYAC / SFFC ,Metro NYC ,USA ,5 ,1.00 ,25 ,13 ,+12 ,Advanced
5,"Strong, Sean",A17 / 41 ,,Southern CA ,USA ,5 ,1.00 ,23 ,11 ,+12 ,Advanced
6,"Rodney, Adam",A16 / 4 ,,Metro NYC ,USA ,6 ,1.00 ,28 ,17 ,+11 ,Advanced
7,"Herbst, Eliot",A17 / 75 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,29 ,16 ,+13 ,Advanced
8,"Rafidi, Joseph",A16 / 29 ,AFM ,Central CA ,USA ,5 ,0.83 ,27 ,14 ,+13 ,Advanced
9,"Nollner, Dylan",A16 / 33 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,25 ,12 ,+13 ,Advanced
10,"White, Sean",A17 / 43 ,FENCERS ,Metro NYC ,USA ,5 ,0.83 ,29 ,17 ,+12 ,Advanced
11,"Volkmann, Daniel",A17 / 93 ,NWFC ,Oregon ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
12,"Brewer, Andrew",A17 ,TFC / LAIFC ,Southern CA ,USA ,5 ,0.83 ,27 ,16 ,+11 ,Advanced
13,"Temiryaev, Alan",A17 / 38 ,NYFA ,Long Island ,USA ,5 ,0.83 ,26 ,15 ,+11 ,Advanced
14,"Maczik, Adam",A17 / 64 ,MARX FENCING ,New England ,USA ,5 ,0.83 ,27 ,17 ,+10 ,Advanced
15,"Mecke, Cedric",A16 / 55 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,24 ,14 ,+10 ,Advanced
16,"Shindler, Oliver",A16 / 44 ,OSU VARSITY FENCING TEAM / WCFA ,Illinois ,USA ,5 ,0.83 ,27 ,18 ,+9 ,Advanced
17T,"Weiss, Lewis",A17 / 8 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,25 ,19 ,+6 ,Advanced
17T,"Fayez, Ayman",A17 / 22 ,FSA ,Virginia ,EGY ,5 ,0.83 ,25 ,19 ,+6 ,Advanced
19,"Lange, Henry",A17 / 92 ,NWFC ,Oregon ,USA ,5 ,0.83 ,25 ,20 ,+5 ,Advanced
20,"Bradford, Jack",A17 / 85 ,OSU VARSITY FENCING TEAM ,Columbus OH ,USA ,4 ,0.80 ,23 ,10 ,+13 ,Advanced
21,"Chmut, Anton",A17 ,NYFA ,Metro NYC ,USA ,4 ,0.80 ,23 ,14 ,+9 ,Advanced
