1,"Thompson, Soren",NYAC ,Metro NYC ,USA ,A14 ,A18 
2,"Yoo, Justin",LAIFC / UNIVPA ,Southern CA ,USA ,A17 ,A18 
3T,"Fayez, Ayman",FSA INC ,Georgia ,EGY ,A18 ,
3T,"Thein-Sandler, Adrien",LAIFC ,Southern CA ,USA ,A17 ,A18 
5,"Hadzic, Alen",LILOVFC/FA ,Connecticut ,USA ,A18 ,
6,"Piskovatskov, Anton",PASTATEUNIV / ALLIANCEFA ,Gulf Coast ,USA ,A17 ,A18 
7,"Mecke, Cedric",NYAC ,Metro NYC ,USA ,A16 ,A18 
8,"Comes, Matthew",WFA / OSUNCAA ,Western WA ,USA ,A18 ,
9,"Herbst, Eliot",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
10,"Faubert, Andy",NWFENCINGCTR / EBFG ,Oregon ,USA ,A18 ,
11,"Carpenter, Liam",MARXFENCING ,New England ,USA ,A18 ,
12,"Herbst, Isaac",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
13,"Volkmann, Daniel",NWFENCINGCTR ,Oregon ,USA ,A18 ,
14,"Smoak, Omari",PWESTBROOK / FENCERSCLUB ,Metro NYC ,USA ,A18 ,
15,"Moody, James",,Colorado ,USA ,A16 ,
16,"Cho, Jonah",LAIFC ,Southern CA ,USA ,A17 ,
17,"Elgeziry, Amro",,Colorado ,USA ,B15 ,
18,"Zagoruiko, Ivan",UNAT / NORTHSHOREFC ,Metro NYC ,USA ,A18 ,
19,"Smith, Dwight",PWESTBROOK ,Metro NYC ,USA ,A18 ,
20,"Schumacher, Cooper",FENCERSCLUB ,Metro NYC ,USA ,A18 ,
21,"Lee, Andrew",MTFC ,Western WA ,USA ,A17 ,
22,"Chmut, Anton",NYFA ,Metro NYC ,USA ,A17 ,
23,"KARYCHENKO, Maksym",,Illinois ,UKR ,A18 ,
24,"Hondor, Robert",OLYMPIAFC ,New England ,USA ,A18 ,
25,"Daroian, Emon",LAIFC ,Southern CA ,USA ,A18 ,
26,"Ewart, Stephen",SWORDSFS / NOTREDAME ,Southern CA ,USA ,A18 ,
27,"White, Sean",FENCERSCLUB ,Metro NYC ,USA ,A18 ,
28T,"Antekeier, Aidan",ALLIANCEFA / NOTREDAME ,Oregon ,USA ,A18 ,
28T,"Griffiths, Ryan",NYAC ,New Jersey ,USA ,A18 ,
30,"Fafard, Fynn",,,CAN ,A18 ,
31,"Hanahan, Nicholas",UNAT / NOTREDAME ,Indiana ,USA ,A17 ,
32,"Bradford, Jack",OSUNCAA ,Columbus OH ,USA ,A18 ,
33,"Tsinis, Alexander",NYAC ,Metro NYC ,USA ,A17 ,
34,"Lange, Henry",NWFENCINGCTR ,Oregon ,USA ,A18 ,
35,"Liverant, Skyler",NYFA ,Metro NYC ,USA ,B18 ,
36,"Campbell, Daniel",FSA INC ,Virginia ,USA ,A18 ,
37,"Weiss, Lewis",ALLIANCEFA ,Gulf Coast ,USA ,A17 ,
38,"Hansen, Jonas",OLYMPIAFC / CRLHSF ,New England ,USA ,A18 ,
39,"Elashry, Zeyad",FORTUNE / HOMEWOODFC ,Maryland ,USA ,A18 ,
40,"Cummings, Atticus",BOZEMANFA ,Inland Emp ,USA ,A18 ,
41,"Piskovatskov, Jonathan",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
42,"Rodney, Adam",PWESTBROOK ,Metro NYC ,USA ,A18 ,
43,"Abdelkarem, Moatazbellah",,,EGY ,B14 ,
44,"Tepedelenlioglu, Mehmet",EBFG ,Northern CA ,USA ,A18 ,
45,"Sherrill, Edward",NYAC ,Metro NYC ,USA ,A18 ,
46,"Doss, David",FENCERSCLUB / GOLDENGATEFC ,Metro NYC ,USA ,A18 ,
47,"Haddad, Justin",DCFENCERS ,Capitol ,USA ,A18 ,
48,"Zagitov, Rafael",AFM ,Central CA ,RUS ,A18 ,
49,"Shindler, Oliver",OSUNCAA / WNDYCTYCHICG ,Illinois ,USA ,A16 ,
