1,"FRENCH, Dylan",A17 / 39 ,DYNAMOFC / NOTREDAME ,Northeast ,CAN ,5 ,1.00 ,25 ,6 ,+19 ,Advanced
2,"SIMMONS, Ariel",A17 / 12 ,NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
3,"TSINIS, Alexander",A17 / 6 ,NYAC ,Metro NYC ,USA ,6 ,1.00 ,29 ,13 ,+16 ,Advanced
4,"JOHNSON, Wesley",A17 / 22 ,PRNCTONU. / SF ,Utah-S.Idaho ,USA ,5 ,1.00 ,23 ,9 ,+14 ,Advanced
5,"FAYEZ, Ayman",A17 / 20 ,FSA ,Virginia ,EGY ,6 ,1.00 ,30 ,17 ,+13 ,Advanced
6,"PRYOR, Jason",A17 / 4 ,NYAC ,Colorado ,USA ,5 ,1.00 ,25 ,12 ,+13 ,Advanced
7,"MECKE, Cedric",A16 / 44 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,27 ,14 ,+13 ,Advanced
8,"BRATTON, Benjamin",A17 / 1 ,PETERWE ,Metro NYC ,USA ,5 ,0.83 ,26 ,14 ,+12 ,Advanced
9,"RAMIREZ, Yeisser",A15 / 37 ,PETERWE ,Metro NYC ,USA ,5 ,0.83 ,27 ,17 ,+10 ,Advanced
10,"BISSINGER, Michael",A17 / 56 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,29 ,20 ,+9 ,Advanced
11,"SCHUMACHER, Cooper",A17 / 10 ,FENCERS ,Metro NYC ,USA ,5 ,0.83 ,25 ,17 ,+8 ,Advanced
12,"WEISS, Lewis",A17 / 5 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,26 ,19 ,+7 ,Advanced
13,"RAYLE, Evan",A17 / 88 ,NWFC ,Oregon ,USA ,5 ,0.83 ,25 ,19 ,+6 ,Advanced
14,"KELLER, Kai-Moritz",A16 / 115 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,22 ,18 ,+4 ,Advanced
15T,"THEIN-SANDLER, Adrien",A17 / 50 ,LAIFC ,Southern CA ,USA ,4 ,0.80 ,23 ,11 ,+12 ,Advanced
15T,"MILLER, Finn",A17 / 38 ,MEDEO F.C. ,New Jersey ,USA ,4 ,0.80 ,23 ,11 ,+12 ,Advanced
17T,"LUGONES RUGGERI, Jesus",A14 ,SWFFA ,Central FL ,ARG ,4 ,0.80 ,23 ,13 ,+10 ,Advanced
17T,"KRAFT, Dennis",A17 / 7 ,LIGONIER / DCFC ,Central PA ,USA ,4 ,0.80 ,23 ,13 ,+10 ,Advanced
19,"HERBST, Isaac",A17 / 23 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.80 ,23 ,14 ,+9 ,Advanced
20,"CANDREVA, Hunter",A17 ,NYAC / OLYMPIA F. C. ,Metro NYC ,USA ,4 ,0.80 ,23 ,15 ,+8 ,Advanced
21,"MCDOWALD, Curtis",A17 / 2 ,PETERWE ,Metro NYC ,USA ,4 ,0.80 ,23 ,16 ,+7 ,Advanced
22,"COMES, Matthew",A17 / 62 ,W.F.A. / OSU VARSITY FENCING TEAM ,Western WA ,USA ,4 ,0.80 ,23 ,17 ,+6 ,Advanced
