1,"Itkin, Nick",LAIFC / NOTREDAME ,Southern CA ,USA ,A17 ,A18 
2,"Mathieu, Adam",FENCERS ,Metro NYC ,USA ,A18 ,
3T,"Moelis, Samuel (Sam)",BROKLN BRIDG. F.C. ,Long Island ,USA ,A17 ,A18 
3T,"Chen, Raymond",FIT / PENN ,North TX ,USA ,A15 ,A18 
5,"Orts, Lucas",M TEAM ,Northern CA ,USA ,A17 ,A18 
6,"Barmann, Samuel",RIFAC / PRNCTONU. ,New England ,USA ,A17 ,A18 
7,"Levy, Jasper",BROKLN BRIDG. F.C. ,Long Island ,USA ,A18 ,
8,"Chen, Earnest",FENCERS ,Connecticut ,USA ,A18 ,
9,"Paik, Joon",FENCERS ,New Jersey ,USA ,A18 ,
10,"Ndiaye, Edriss",,Capitol ,USA ,B18 ,
11,"Zaroff, Leo",SANFRANFC ,Northern CA ,USA ,A18 ,
12,"Mitberg, Gregory",MARX FENCING / NWFC ,New England ,USA ,A17 ,
13,"Wriedt, Nathan",ATABA F.C. ,Wisconsin ,USA ,A18 ,
14,"Zheng, Andrew",FENCERS ,Long Island ,USA ,A18 ,
15,"Wang, Brian",MARX FENCING ,New England ,USA ,A17 ,
16,"Levy, Cameron",BROKLN BRIDG. F.C. ,Long Island ,USA ,A17 ,
17,"Chang, Jerry",DURKAN / RAIN CITY ,Central CA ,USA ,A18 ,
18,"Reid, Clayton",SANFRANFC ,Northern CA ,USA ,B17 ,
19,"Griffith, Jordan",USAFA ,Colorado ,USA ,A16 ,
20,"Kaiser, Hans",RENFENC ,Michigan ,USA ,A17 ,
21,"Holmes, Stuart",MISSION F.C. / SILVER CITY ,Long Island ,USA ,A17 ,
22T,"Weinstein, Connor",MARX FENCING / NWFC ,New England ,USA ,A14 ,
22T,"Levin, Nestor",FAW ,West-Rock ,USA ,A17 ,
24,"Li, Brian",MARX FENCING ,New England ,USA ,A17 ,
25,"Emmer, Chase",V FENCING ,New Jersey ,USA ,A18 ,
26,"Marino, Joseph",BROKLN BRIDG. F.C. / NOTREDAME ,Long Island ,USA ,A17 ,
27,"Knodt, Julian",M TEAM / PRNCTONU. ,Central CA ,USA ,A18 ,
28,"Hu, Oliver",MARX FENCING ,New England ,USA ,B17 ,
29T,"Yee, Maxwell",LAIFC ,Southern CA ,USA ,A17 ,
29T,"Bourtis, James",RCHSTER ,Western NY ,USA ,A18 ,
31,"Binder, Zachary",FAW ,West-Rock ,USA ,A18 ,
32,"Field, Miles",BROKLN BRIDG. F.C. ,Metro NYC ,USA ,A17 ,
33,"Condiff, Noah",ZFA ,Philadelphia ,USA ,A16 ,
34,"Huang, Bin",MARX FENCING ,New England ,USA ,A17 ,
35,"Welch, Kyle",UNAT / NYU ,Connecticut ,USA ,A17 ,
36,"Cheng, Julian",M TEAM ,Central CA ,USA ,A17 ,
37,"Ouellette, David",5TFC ,Long Island ,USA ,B17 ,
38,"Ding, Allan",MARX FENCING ,New England ,USA ,A18 ,
39,"Louie, Bryce",LAIFC ,Southern CA ,USA ,A18 ,
40,"Mannan, Zohaib",BROKLN BRIDG. F.C. / NYU ,Metro NYC ,USA ,A18 ,
41,"Daniel, Ashton",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
42,"Chen, James",FENCERS ,Connecticut ,USA ,A17 ,
43,"Zilinskiy, Eduard",TOUCHE / TEAMTOUCHE ,Central CA ,USA ,B15 ,
44,"Ranadive, Rishi",M TEAM ,Northern CA ,USA ,A17 ,
45,"Lutar, Lucas",FAW ,Huds-Berks ,USA ,A17 ,
46,"Gassner, Ethan",SANFRANFC ,Northern CA ,USA ,A18 ,
47,"Wu, Jerry",TOUCHE ,Central CA ,USA ,A17 ,
48,"DeBack, Maximus",GRAFA ,Michigan ,USA ,A18 ,
49,"Lee, Benjamin",METRO TACOMA ,Western WA ,USA ,A18 ,
50,"Bae, Anthony",FENCERS ,New Jersey ,USA ,A17 ,
51,"Lu, Kerry",SANFRANFC ,Northern CA ,USA ,A17 ,
52,"Johnson, Aidan",FENCERS ,Metro NYC ,USA ,A18 ,
53,"Gruber, Samuel",MOE FC ,New England ,USA ,A17 ,
54,"Liao, Jun Heng (James)",FENCERS ,New Jersey ,USA ,A17 ,
55,"Dority, Philip",BLUEGRASS ,Kentucky ,USA ,B17 ,
56,"Blutt, Emerson",MANHATTAN ,Metro NYC ,USA ,B18 ,
57,"Johnson, Cole",M TEAM ,Northern CA ,USA ,A17 ,
58,"Gaudet, Paul",OLYMPIA F. C. ,New England ,USA ,B17 ,
59,"Choo, Joseph",NWFC ,Nevada ,USA ,A17 ,
60,"Cheng, Thomas",MOE FC ,New England ,USA ,B18 ,
61,"Yu, Eric",LAIFC ,Southern CA ,USA ,A17 ,
62,"Knight, Ethan",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
63,"Park, Brian",FENCERS ,Metro NYC ,USA ,A17 ,
64,"Hodges, Carter",MANHATTAN ,Metro NYC ,USA ,A18 ,
