1,"Williams, Grant",A17 / 13 ,DFA / NYU ,Georgia ,USA ,6 ,1.00 ,30 ,5 ,+25 ,Advanced
2,"Loss, Geoffrey",A17 / 3 ,FENCERS / AGFC ,Metro NYC ,USA ,6 ,1.00 ,30 ,7 ,+23 ,Advanced
3,"Fields, Malcolm",A16 / 39 ,AFFA ,New Jersey ,USA ,5 ,1.00 ,25 ,6 ,+19 ,Advanced
4T,"Levitt, Benjamin",A17 / 105 ,BERGEN F.C. ,New Jersey ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
4T,"Costin, Michael",A16 / 20 ,AGFC ,Southern CA ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
6,"Elsissy, Ziad",A16 / 37 ,UNAT / WAYNSTU ,Michigan ,EGY ,5 ,1.00 ,25 ,8 ,+17 ,Advanced
7,"Spear, Will",A15 / 16 ,NYAC ,Huds-Berks ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
8,"Guy, Philippe",A15 / 47 ,UNAT / SPARTAK ,San Diego ,USA ,5 ,1.00 ,25 ,9 ,+16 ,Advanced
9,"Prochniak, Evan",A17 / 7 ,NYAC / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
10,"Armijo, Gabriel",A16 / 31 ,MANHATTAN ,San Diego ,USA ,5 ,1.00 ,25 ,13 ,+12 ,Advanced
11,"Zhang, Andrew",A17 / 27 ,PFA ,Mt. Valley ,USA ,5 ,1.00 ,25 ,18 ,+7 ,Advanced
12,"Rohrlack, Charles",A17 / 19 ,REDSTAR ,Illinois ,USA ,5 ,0.83 ,29 ,11 ,+18 ,Advanced
13,"Borojerdi, Ameen",A17 / 25 ,F.C. - AZ ,Arizona ,USA ,5 ,0.83 ,28 ,10 ,+18 ,Advanced
14,"Shainberg, Jonah",A17 / 12 ,NOTREDAME / TIM MOREHOUSE FENCING ,West-Rock ,USA ,5 ,0.83 ,29 ,14 ,+15 ,Advanced
15,"Natanzon, Benjamin",A17 / 5 ,MANHATTAN ,Metro NYC ,USA ,5 ,0.83 ,28 ,15 ,+13 ,Advanced
16,"Meng, Brend",B17 / 96 ,PENINSULA ,Northern CA ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
17,"Del Vecchio, Nicolas",A17 ,CAPITAL ,Capitol ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
18,"Park, Donghwan",B17 / 66 ,PFA ,Mt. Valley ,USA ,5 ,0.83 ,28 ,18 ,+10 ,Advanced
19,"Richardson, Andrew",B17 ,,N. Carolina ,USA ,5 ,0.83 ,27 ,17 ,+10 ,Advanced
20,"Cottingham, Robert",B15 ,PETERWE / NYU ,Metro NYC ,USA ,5 ,0.83 ,25 ,18 ,+7 ,Advanced
21,"Hu, William",B17 ,PFA ,Mt. Valley ,USA ,5 ,0.83 ,25 ,21 ,+4 ,Advanced
22,"Lin, Xiteng (Steven)",A17 / 36 ,OREGONFA ,Oregon ,CHN ,4 ,0.80 ,23 ,13 ,+10 ,Advanced
23,"Stone, Ben",A17 / 30 ,MANHATTAN / DUKEUNIVFC ,Metro NYC ,USA ,4 ,0.80 ,24 ,16 ,+8 ,Advanced
24,"Igoe, Benjamin",A14 ,NYAC ,Metro NYC ,USA ,4 ,0.80 ,22 ,17 ,+5 ,Advanced
25,"Florencia, Hector",A14 ,OSU VARSITY FENCING TEAM ,North TX ,MEX ,4 ,0.80 ,21 ,16 ,+5 ,Advanced
26,"Vidovszky, Robert",A17 / 60 ,PFA ,Mt. Valley ,USA ,4 ,0.67 ,26 ,15 ,+11 ,Advanced
27,"Bivins, George",B17 ,MANHATTAN ,Metro NYC ,USA ,4 ,0.67 ,27 ,17 ,+10 ,Advanced
28,"Shin, Richard J.H.",A16 / 107 ,AGFC ,Southern CA ,USA ,4 ,0.67 ,25 ,15 ,+10 ,Advanced
29,"Fitzgerald, Jonathan",A17 / 17 ,MANHATTAN / NOTREDAME ,New Jersey ,USA ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
30,"Linder, James",A17 / 94 ,F.C. - AZ ,Arizona ,USA ,4 ,0.67 ,26 ,18 ,+8 ,Advanced
31,"Thompson, Khalil",A17 / 23 ,UNAT / PSU ,Metro NYC ,USA ,4 ,0.67 ,28 ,21 ,+7 ,Advanced
32,"Johnson, Zachary",A15 / 82 ,F.C. - AZ ,Arizona ,USA ,4 ,0.67 ,27 ,21 ,+6 ,Advanced
33,"Berkay, Deniz",B17 / 103 ,MANHATTAN ,Long Island ,USA ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
34T,"Dougall, Tyson",B17 ,PDX ,Oregon ,USA ,4 ,0.67 ,25 ,23 ,+2 ,Advanced
34T,"Mullennix, Ethan",A17 / 59 ,HLBRSDT ,Northern CA ,USA ,4 ,0.67 ,25 ,23 ,+2 ,Advanced
36,"Staten-Lusty, Silas",C17 ,SAS ,Western WA ,USA ,4 ,0.67 ,22 ,20 ,+2 ,Advanced
37,"Park, Justin",A17 ,BERGEN F.C. ,New Jersey ,USA ,4 ,0.67 ,24 ,24 ,0 ,Advanced
38,"Bak, Daniel",A14 ,NYAC ,Metro NYC ,USA ,3 ,0.60 ,22 ,12 ,+10 ,Advanced
39,"Ma, Jonathan",B17 ,LONESTAR ,North TX ,USA ,3 ,0.60 ,23 ,17 ,+6 ,Advanced
40,"Western, Rafael",A16 / 38 ,TIM MOREHOUSE FENCING ,Metro NYC ,PUR ,3 ,0.60 ,22 ,18 ,+4 ,Advanced
41,"No, Nicholas",A17 / 41 ,PFA ,Mt. Valley ,USA ,3 ,0.60 ,19 ,15 ,+4 ,Advanced
42T,"Shepanek, Noah",B17 ,PDX ,Oregon ,USA ,3 ,0.60 ,21 ,18 ,+3 ,Advanced
42T,"Rotenstein, Leon",B16 ,BRANDEIS / ZETA FENCING ,New England ,USA ,3 ,0.60 ,21 ,18 ,+3 ,Advanced
44,"Kolasa, Thomas",A17 / 50 ,UNAT / FENCERS ,S. Jersey ,USA ,3 ,0.60 ,21 ,19 ,+2 ,Advanced
45T,"Cameron, James",A15 ,DCFC ,Capitol ,USA ,3 ,0.60 ,20 ,21 ,-1 ,Advanced
45T,"Gets, Matthew",A16 ,BERGEN F.C. ,Metro NYC ,USA ,3 ,0.60 ,20 ,21 ,-1 ,Advanced
47,"Copeland, Oliver",C17 ,AGFC ,Southern CA ,USA ,3 ,0.60 ,17 ,21 ,-4 ,Advanced
48,"Contreras, Alessandro",A17 / 74 ,CAPITAL ,Capitol ,USA ,3 ,0.50 ,27 ,20 ,+7 ,Advanced
49,"Liu, Jesse",B17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,26 ,21 ,+5 ,Advanced
50,"Kim, Brian",B17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,25 ,20 ,+5 ,Advanced
51,"Parson-Scherban, Maxfield",C17 ,OREGONFA ,Oregon ,USA ,3 ,0.50 ,24 ,20 ,+4 ,Advanced
52T,"Rice, Vaughn",C17 ,MEDEO F.C. ,New Jersey ,USA ,3 ,0.50 ,24 ,22 ,+2 ,Advanced
52T,"Nadile, Henry",B17 ,TIM MOREHOUSE FENCING ,West-Rock ,USA ,3 ,0.50 ,24 ,22 ,+2 ,Advanced
54,"Prevey-Sullivan, Owen",A16 / 64 ,TIM MOREHOUSE FENCING ,Connecticut ,USA ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
55,"Lu, Aaron",B17 ,PENINSULA ,Northern CA ,USA ,3 ,0.50 ,26 ,25 ,+1 ,Advanced
56,"Jones, Alexander",B17 / 111 ,AGFC ,Southern CA ,USA ,3 ,0.50 ,22 ,21 ,+1 ,Advanced
57,"Shurygin, Ariel",B17 ,PDX ,Oregon ,USA ,3 ,0.50 ,22 ,22 ,0 ,Advanced
58T,"Hast, Kern",B16 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
58T,"Schmitt, Trenton",A17 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
60,"Price, Jack",B17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,22 ,23 ,-1 ,Advanced
61,"Johnson, Andrew",A17 ,F.C. - AZ ,Arizona ,USA ,3 ,0.50 ,18 ,19 ,-1 ,Advanced
62,"Phillips, Kim",B17 ,CFFA ,Metro NYC ,USA ,3 ,0.50 ,21 ,25 ,-4 ,Advanced
63,"DeScherer, David",B17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,20 ,24 ,-4 ,Advanced
64,"Blackmon, Luke",B17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,18 ,22 ,-4 ,Advanced
65,"Smith, Jared",A17 / 100 ,AGFC ,Orange Coast ,USA ,3 ,0.50 ,18 ,23 ,-5 ,Advanced
66,"McBride, Jackson",C17 ,F.C. - AZ ,Arizona ,USA ,3 ,0.50 ,16 ,22 ,-6 ,Advanced
67,"Williams, Marty",A17 / 54 ,TIM MOREHOUSE FENCING / CANDLE ,Metro NYC ,USA ,2 ,0.40 ,22 ,17 ,+5 ,Advanced
68,"Ren, Junming",C17 ,BERGEN F.C. ,New Jersey ,HKG ,2 ,0.40 ,20 ,20 ,0 ,Advanced
69,"Callahan, Kevin",A17 / 48 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.40 ,16 ,16 ,0 ,Advanced
70,"Wang, Royce",A15 ,,Central CA ,TPE ,2 ,0.40 ,19 ,20 ,-1 ,Advanced
71,"Wisniowski, Michal",B16 ,AFFA ,New Jersey ,USA ,2 ,0.40 ,20 ,22 ,-2 ,Advanced
72,"Michell, Bailey",C17 ,INTL. F.C. ,New England ,USA ,2 ,0.40 ,16 ,22 ,-6 ,Advanced
73,"Oster, Keegan",A17 ,HANGTOWN ,Mt. Valley ,USA ,2 ,0.33 ,24 ,25 ,-1 ,Advanced
74T,"Liu, Shu",B17 ,WEST COAST FENCING ,San Bern'do ,CHN ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
74T,"Kokosinski, Eryk",B17 ,MFA ,Illinois ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
74T,"Bouanani, Zachariah",C17 ,F.C. - AZ ,Arizona ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
77,"Leung, Mark",C17 ,NELLYA ,Georgia ,USA ,2 ,0.33 ,19 ,22 ,-3 ,Advanced
