1,"TOURETTE, Geoffrey",UNAT / SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,A18 
2,"BRAVO, Kenji",M TEAM ,Northern CA ,USA ,A17 ,A18 
3T,"REYNOLDS, Tyler",,Northeast ,AUS ,A14 ,A18 
3T,"SHIN, Philip",NYU / FENCERS ,Metro NYC ,USA ,A15 ,A18 
5,"MATHIEU, Adam",FENCERS ,Metro NYC ,USA ,A17 ,A18 
6,"OLIVARES, Marcello",BLUEGRASS ,Gold Coast ,USA ,A17 ,A18 
7,"SCRUGGS, Nolen",FENCERS ,Metro NYC ,USA ,A17 ,A18 
8,"CHEN, Earnest",FENCERS ,Connecticut ,USA ,A17 ,A18 
9,"HAGLUND, George",UNAT / DURKAN ,New Jersey ,USA ,A16 ,
10,"BRANMAN, Matthew",,Philadelphia ,USA ,A15 ,
11,"KIEFER, Axel",BLUEGRASS / NOTREDAME ,Kentucky ,USA ,A17 ,
12,"KUMBLA, Sidarth",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
13,"LEVY, Cameron",BROKLN BRIDG. F.C. ,Long Island ,USA ,A17 ,
14,"CHANG, Jerry",DURKAN / RAIN CITY ,Central CA ,USA ,A17 ,
15,"LI, Michael",M TEAM ,Central CA ,USA ,A17 ,
16,"MITBERG, Gregory",MARX FENCING / NWFC ,New England ,USA ,A17 ,
17,"IMBODEN, Race",GOLUBITSKY ,Metro NYC ,USA ,A17 ,
18,"MOELIS, Samuel (Sam)",BROKLN BRIDG. F.C. ,Long Island ,USA ,A17 ,
19,"HASSAN, Mohamed",PSU / FENCERSACA ,St. Louis ,USA ,A16 ,
20,"BINDER, Zachary",FAW ,West-Rock ,USA ,A17 ,
21,"DANIEL, Ashton",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
22,"BROSZUS, Blake",SILICONVALLEYFCTR ,Central CA ,CAN ,A17 ,
23,"LEWICKI, Max",MEDEO F.C. ,New Jersey ,USA ,A17 ,
24,"HADLER, David",U.C.S.D. ,Northern CA ,USA ,A16 ,
25,"MACHOVEC, Andrew",5TFC ,Long Island ,USA ,A17 ,
26,"RHEINGANS-YOO, Duncan",UNAT / MARX FENCING ,New England ,USA ,A17 ,
27,"CHEN, James",FENCERS ,Connecticut ,USA ,A17 ,
28,"CHEN, Raymond",FIT / PENN ,North TX ,USA ,A15 ,
29,"GRUBER, Samuel",MOE FC ,New England ,USA ,A17 ,
30,"ZHENG, Andrew",FENCERS ,Long Island ,USA ,A17 ,
31,"LEVY, Jasper",BROKLN BRIDG. F.C. ,Long Island ,USA ,A17 ,
32,"IVERSON, Shane",V FENCING / PSU ,New Jersey ,USA ,A16 ,
33,"CHENG, Julian",M TEAM ,Central CA ,USA ,A17 ,
34,"PAIK, Joon",FENCERS ,New Jersey ,USA ,A17 ,
35,"SHIH, Benjamin",TOUCHE ,Central CA ,USA ,B17 ,
36,"HOLMES, Stuart",MISSION F.C. / SILVER CITY ,Long Island ,USA ,A17 ,
37,"RANADIVE, Rishi",M TEAM ,Northern CA ,USA ,A17 ,
38,"WONG, Robert",FAW ,West-Rock ,USA ,A16 ,
39,"MANLEY, Thomas",FIT / NJIT ,North TX ,USA ,A17 ,
40,"BARMANN, Samuel",RIFAC / PRNCTONU. ,New England ,USA ,A17 ,
41,"WELCH, Kyle",UNAT / NYU ,Connecticut ,USA ,A17 ,
42,"KARBONOWSKI, Kamil",,,CAN ,A17 ,
43,"WU, Jerry",TOUCHE ,Central CA ,USA ,A17 ,
44,"TIRADO, Sebastian",FENCERS ,New Jersey ,PUR ,A17 ,
45,"CHOO, Joseph",NWFC ,Nevada ,USA ,A17 ,
46,"VAIANI, John",UNAT / PENN ,New Jersey ,USA ,A15 ,
47,"RUSHING, Brycen",DUKEUNIVFC ,North TX ,USA ,A17 ,
48,"GAZIANO, William",MEDEO F.C. / OSU VARSITY FENCING TEAM ,New Jersey ,USA ,A16 ,
49,"ORTS, Lucas",M TEAM ,Northern CA ,USA ,A17 ,
50,"PRILUTSKY, David",PREMIERFC / MANHATTAN ,New Jersey ,USA ,B17 ,
51,"UPBIN, William",BROKLN BRIDG. F.C. / PENN ,Metro NYC ,USA ,A17 ,
52,"HADLER, Benjamin",SANFRANFC ,Northern CA ,USA ,B17 ,
53,"BONTEMS, Pierre-Olivier",UNAT / TOUCHE ,Central CA ,CAN ,B17 ,
54,"KANESHIGE, Brian",DURKAN ,New Jersey ,USA ,A17 ,
55,"BOURTIS, James",RCHSTER ,Western NY ,USA ,A16 ,
56T,"CONDIFF, Noah",ZFA ,Philadelphia ,USA ,A16 ,
56T,"KAISER, Hans",RENFENC ,Michigan ,USA ,A17 ,
58,"YU, Eric",LAIFC ,Southern CA ,USA ,A17 ,
59,"COLON, Cesar",,,PUR ,A17 ,
60,"LOUIE, Bryce",LAIFC ,Southern CA ,USA ,A17 ,
61,"LESNIKOV, Kirel",BROKLN BRIDG. F.C. ,Metro NYC ,USA ,B15 ,
62,"SHEEN, Grant",GOLUBITSKY ,Orange Coast ,USA ,B16 ,
63,"JOHNSON, Aidan",FENCERS ,Metro NYC ,USA ,A17 ,
64,"MCGILLION-MOORE, Jake",FAIRFIELD FENCING ,Connecticut ,USA ,B17 ,
65,"LEE, Benjamin",METRO TACOMA ,Western WA ,USA ,A17 ,
66,"SCONZO, Owen",5TFC ,Long Island ,USA ,C17 ,
67,"MARINO, Joseph",BROKLN BRIDG. F.C. / NOTREDAME ,Long Island ,USA ,A17 ,
68,"GU, Daniel",,,CAN ,A17 ,
69,"MANNAN, Zohaib",BROKLN BRIDG. F.C. / NYU ,Metro NYC ,USA ,A17 ,
70,"WEINSTEIN, Connor",MARX FENCING / NWFC ,New England ,USA ,A14 ,
71T,"LU, Kerry",SANFRANFC ,Northern CA ,USA ,A17 ,
