1,"MATHIEU, Adam",A17 / 6 ,FENCERS ,Metro NYC ,USA ,6 ,1.00 ,30 ,5 ,+25 ,Advanced
2,"TOURETTE, Geoffrey",A17 / 7 ,UNAT / SILICONVALLEYFCTR ,Central CA ,USA ,6 ,1.00 ,30 ,6 ,+24 ,Advanced
3,"OLIVARES, Marcello",A17 / 24 ,BLUEGRASS ,Gold Coast ,USA ,6 ,1.00 ,30 ,7 ,+23 ,Advanced
4T,"HAGLUND, George",A16 / 30 ,UNAT / DURKAN ,New Jersey ,USA ,6 ,1.00 ,30 ,8 ,+22 ,Advanced
4T,"IMBODEN, Race",A17 / 2 ,GOLUBITSKY ,Metro NYC ,USA ,6 ,1.00 ,30 ,8 ,+22 ,Advanced
6,"CHENG, Julian",A17 / 13 ,M TEAM ,Central CA ,USA ,6 ,1.00 ,29 ,7 ,+22 ,Advanced
7,"MOELIS, Samuel (Sam)",A17 / 9 ,BROKLN BRIDG. F.C. ,Long Island ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
8,"HASSAN, Mohamed",A16 / 21 ,PSU / FENCERSACA ,St. Louis ,USA ,6 ,1.00 ,30 ,10 ,+20 ,Advanced
9,"BINDER, Zachary",A17 / 42 ,FAW ,West-Rock ,USA ,5 ,1.00 ,25 ,5 ,+20 ,Advanced
10T,"DANIEL, Ashton",A17 / 38 ,SILICONVALLEYFCTR ,Central CA ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
10T,"PAIK, Joon",A17 / 28 ,FENCERS ,New Jersey ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
10T,"LEE, Benjamin",A17 / 61 ,METRO TACOMA ,Western WA ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
13T,"SCRUGGS, Nolen",A17 / 52 ,FENCERS ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
13T,"SCONZO, Owen",C17 / 112 ,5TFC ,Long Island ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
15T,"BROSZUS, Blake",A17 / 23 ,SILICONVALLEYFCTR ,Central CA ,CAN ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
15T,"BRANMAN, Matthew",A15 ,,Philadelphia ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
17,"KIEFER, Axel",A17 / 41 ,BLUEGRASS / NOTREDAME ,Kentucky ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
18,"SHIH, Benjamin",B17 / 76 ,TOUCHE ,Central CA ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
19T,"MARINO, Joseph",A17 / 14 ,BROKLN BRIDG. F.C. / NOTREDAME ,Long Island ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
19T,"LEWICKI, Max",A17 / 64 ,MEDEO F.C. ,New Jersey ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
21,"HADLER, David",A16 / 44 ,U.C.S.D. ,Northern CA ,USA ,5 ,1.00 ,25 ,11 ,+14 ,Advanced
22,"REYNOLDS, Tyler",A14 ,,Northeast ,AUS ,6 ,1.00 ,30 ,17 ,+13 ,Advanced
23,"HOLMES, Stuart",A17 / 32 ,MISSION F.C. / SILVER CITY ,Long Island ,USA ,6 ,1.00 ,30 ,18 ,+12 ,Advanced
24,"BRAVO, Kenji",A17 / 19 ,M TEAM ,Northern CA ,USA ,5 ,0.83 ,29 ,8 ,+21 ,Advanced
25,"KUMBLA, Sidarth",A17 / 11 ,SILICONVALLEYFCTR ,Central CA ,USA ,5 ,0.83 ,29 ,10 ,+19 ,Advanced
26,"RANADIVE, Rishi",A17 / 31 ,M TEAM ,Northern CA ,USA ,5 ,0.83 ,28 ,9 ,+19 ,Advanced
27,"LEVY, Cameron",A17 / 29 ,BROKLN BRIDG. F.C. ,Long Island ,USA ,5 ,0.83 ,28 ,10 ,+18 ,Advanced
28,"WONG, Robert",A16 / 55 ,FAW ,West-Rock ,USA ,5 ,0.83 ,28 ,11 ,+17 ,Advanced
29T,"GU, Daniel",A17 / 79 ,,,CAN ,5 ,0.83 ,29 ,13 ,+16 ,Advanced
29T,"MACHOVEC, Andrew",A17 / 10 ,5TFC ,Long Island ,USA ,5 ,0.83 ,29 ,13 ,+16 ,Advanced
31T,"RHEINGANS-YOO, Duncan",A17 / 16 ,UNAT / MARX FENCING ,New England ,USA ,5 ,0.83 ,27 ,11 ,+16 ,Advanced
31T,"MANNAN, Zohaib",A17 / 26 ,BROKLN BRIDG. F.C. / NYU ,Metro NYC ,USA ,5 ,0.83 ,27 ,11 ,+16 ,Advanced
33,"MANLEY, Thomas",A17 / 100 ,FIT / NJIT ,North TX ,USA ,5 ,0.83 ,26 ,10 ,+16 ,Advanced
34,"BARMANN, Samuel",A17 / 20 ,RIFAC / PRNCTONU. ,New England ,USA ,5 ,0.83 ,25 ,9 ,+16 ,Advanced
35,"WELCH, Kyle",A17 / 92 ,UNAT / NYU ,Connecticut ,USA ,5 ,0.83 ,27 ,12 ,+15 ,Advanced
36,"KARBONOWSKI, Kamil",A17 ,,,CAN ,5 ,0.83 ,26 ,11 ,+15 ,Advanced
37T,"CHANG, Jerry",A17 / 12 ,DURKAN / RAIN CITY ,Central CA ,USA ,5 ,0.83 ,29 ,15 ,+14 ,Advanced
37T,"WU, Jerry",A17 / 39 ,TOUCHE ,Central CA ,USA ,5 ,0.83 ,29 ,15 ,+14 ,Advanced
39,"CHEN, Earnest",A17 / 33 ,FENCERS ,Connecticut ,USA ,5 ,0.83 ,28 ,14 ,+14 ,Advanced
40,"TIRADO, Sebastian",A17 / 75 ,FENCERS ,New Jersey ,PUR ,5 ,0.83 ,26 ,12 ,+14 ,Advanced
41,"CHOO, Joseph",A17 / 49 ,NWFC ,Nevada ,USA ,5 ,0.83 ,29 ,16 ,+13 ,Advanced
42,"LI, Michael",A17 / 50 ,M TEAM ,Central CA ,USA ,5 ,0.83 ,27 ,14 ,+13 ,Advanced
43,"VAIANI, John",A15 / 96 ,UNAT / PENN ,New Jersey ,USA ,5 ,0.83 ,26 ,13 ,+13 ,Advanced
44,"RUSHING, Brycen",A17 ,DUKEUNIVFC ,North TX ,USA ,5 ,0.83 ,27 ,15 ,+12 ,Advanced
45,"WEINSTEIN, Connor",A14 / 85 ,MARX FENCING / NWFC ,New England ,USA ,5 ,0.83 ,25 ,13 ,+12 ,Advanced
46T,"TIERNEY, David",A17 ,NAPLES FA ,Central FL ,USA ,5 ,0.83 ,29 ,18 ,+11 ,Advanced
46T,"LU, Kerry",A17 / 84 ,SANFRANFC ,Northern CA ,USA ,5 ,0.83 ,29 ,18 ,+11 ,Advanced
48,"LEVIN, Nestor",A17 / 81 ,FAW ,West-Rock ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
49,"GAZIANO, William",A16 ,MEDEO F.C. / OSU VARSITY FENCING TEAM ,New Jersey ,USA ,5 ,0.83 ,27 ,16 ,+11 ,Advanced
50,"ORTS, Lucas",A17 / 17 ,M TEAM ,Northern CA ,USA ,5 ,0.83 ,28 ,19 ,+9 ,Advanced
51,"MITBERG, Gregory",A17 / 27 ,MARX FENCING / NWFC ,New England ,USA ,5 ,0.83 ,27 ,18 ,+9 ,Advanced
52,"HOLMES, Andrew",A17 ,MISSION F.C. ,Long Island ,USA ,5 ,0.83 ,26 ,17 ,+9 ,Advanced
53T,"SCARPA, Ryan",A17 / 91 ,5TFC ,Long Island ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
53T,"SHIN, Philip",A15 / 15 ,NYU / FENCERS ,Metro NYC ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
55,"CHEN, James",A17 ,FENCERS ,Connecticut ,USA ,5 ,0.83 ,27 ,20 ,+7 ,Advanced
56,"KHAZBAK, Hazem",A17 / 42 ,NOTREDAME / BLUEGRASS ,Kentucky ,EGY ,4 ,0.80 ,24 ,11 ,+13 ,Advanced
57,"PRILUTSKY, David",B17 ,PREMIERFC / MANHATTAN ,New Jersey ,USA ,4 ,0.80 ,24 ,18 ,+6 ,Advanced
58,"OSTATNIGROSH, Andrey",A14 / 69 ,PSU / FRESNO ,Mt. Valley ,USA ,4 ,0.67 ,28 ,16 ,+12 ,Advanced
59,"CHEN, Raymond",A15 / 53 ,FIT / PENN ,North TX ,USA ,4 ,0.67 ,27 ,17 ,+10 ,Advanced
60,"UPBIN, William",A17 ,BROKLN BRIDG. F.C. / PENN ,Metro NYC ,USA ,4 ,0.67 ,25 ,15 ,+10 ,Advanced
61,"HADLER, Benjamin",B17 ,SANFRANFC ,Northern CA ,USA ,4 ,0.67 ,27 ,18 ,+9 ,Advanced
62T,"BONTEMS, Pierre-Olivier",B17 / 37 ,UNAT / TOUCHE ,Central CA ,CAN ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
62T,"ALLEN, Cameron",A15 / 36 ,UNAT / FENCERS ,Philadelphia ,USA ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
64,"DORITY, Philip",B17 ,BLUEGRASS ,Kentucky ,USA ,4 ,0.67 ,24 ,15 ,+9 ,Advanced
65T,"HOSSFELD, Finn",A17 ,FAW ,West-Rock ,USA ,4 ,0.67 ,27 ,19 ,+8 ,Advanced
65T,"KANESHIGE, Brian",A17 / 8 ,DURKAN ,New Jersey ,USA ,4 ,0.67 ,27 ,19 ,+8 ,Advanced
67,"BOURTIS, James",A16 / 54 ,RCHSTER ,Western NY ,USA ,4 ,0.67 ,26 ,18 ,+8 ,Advanced
68,"ZAROFF, Leo",A16 / 34 ,SANFRANFC ,Northern CA ,USA ,4 ,0.67 ,25 ,17 ,+8 ,Advanced
69T,"KATAYAMA, Kevin",A17 ,AIFENCING / PREMIERFC ,New Jersey ,USA ,4 ,0.67 ,27 ,20 ,+7 ,Advanced
