1,"Hamza, Mohamed",A17 / 19 ,SALLEMAUROFA ,Gulf Coast ,EGY ,6 ,1.00 ,30 ,6 ,+24 ,Advanced
2T,"Olivares, Marcello",A18 / 13 ,BLUEGRASSFC ,Gold Coast ,USA ,6 ,1.00 ,30 ,7 ,+23 ,Advanced
2T,"Paik, Hyun",A17 ,FENCERSCLUB ,New Jersey ,USA ,6 ,1.00 ,30 ,7 ,+23 ,Advanced
4,"Bravo, Kenji",A18 / 10 ,M TEAM ,Northern CA ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
5,"Tourette, Geoffrey",A18 / 6 ,UNAT / SILICONVLYFC ,Central CA ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
6,"Machovec, Andrew",A18 / 15 ,,Long Island ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
7,"Holmes, Stuart",A18 / 51 ,MISSIONFC / SILVERCITYFC ,Long Island ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
8,"Lutar, Lucas",A17 ,FAW ,Huds-Berks ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
9,"Choo, Joseph",A17 / 45 ,NWFENCINGCTR ,Nevada ,USA ,6 ,1.00 ,30 ,20 ,+10 ,Advanced
10,"Moelis, Samuel (Sam)",A18 / 11 ,BBFC ,Long Island ,USA ,5 ,0.83 ,28 ,10 ,+18 ,Advanced
11,"Itkin, Nick",A18 / 5 ,LAIFC / NOTREDAME ,Southern CA ,USA ,5 ,0.83 ,27 ,9 ,+18 ,Advanced
12,"Bontems, Pierre-Olivier",B17 / 40 ,UNAT / LECLUBTOUCHE ,,CAN ,5 ,0.83 ,29 ,14 ,+15 ,Advanced
13T,"Broszus, Blake",A17 / 22 ,SILICONVLYFC ,Central CA ,CAN ,5 ,0.83 ,28 ,14 ,+14 ,Advanced
13T,"Kaneshige, Brian",A17 / 17 ,DURKANFA ,New Jersey ,USA ,5 ,0.83 ,28 ,14 ,+14 ,Advanced
15,"Katayama, Kevin",A18 ,PREMIERFC ,New Jersey ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
16,"Chen, James",A17 / 70 ,FENCERSCLUB ,Connecticut ,USA ,5 ,0.83 ,26 ,14 ,+12 ,Advanced
17,"Yu, Eric",A17 / 104 ,LAIFC ,Southern CA ,USA ,5 ,0.83 ,27 ,16 ,+11 ,Advanced
18,"Hassan, Mohamed",A16 / 43 ,PASTATEUNIV / FENCERSACDMY ,St. Louis ,,5 ,0.83 ,25 ,16 ,+9 ,Advanced
19,"Shin, Philip",A18 / 12 ,NYU ,Metro NYC ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
20,"Pivovarov, Aleksandr",A18 / 73 ,SFFC ,Mt. Valley ,RUS ,5 ,0.83 ,26 ,18 ,+8 ,Advanced
21,"Chung, Andrew",A18 ,GOLUBITSKYFC ,Orange Coast ,USA ,5 ,0.83 ,29 ,22 ,+7 ,Advanced
22,"Andrade, Nicholas",A18 / 101 ,MOEFENCING ,New England ,USA ,5 ,0.83 ,26 ,21 ,+5 ,Advanced
23,"Wong, Robert",A16 / 48 ,NOTREDAME / FAW ,West-Rock ,USA ,5 ,0.83 ,26 ,22 ,+4 ,Advanced
24,"Ranadive, Rishi",A17 / 31 ,M TEAM ,Northern CA ,USA ,4 ,0.80 ,22 ,12 ,+10 ,Advanced
25,"Li, Brian",A18 / 76 ,MARXFENCING ,New England ,USA ,4 ,0.80 ,22 ,14 ,+8 ,Advanced
26,"Binder, Zachary",A18 / 27 ,FAW ,West-Rock ,USA ,4 ,0.80 ,22 ,15 ,+7 ,Advanced
27,"Levy, Cameron",A17 / 26 ,BBFC ,Long Island ,USA ,4 ,0.80 ,24 ,18 ,+6 ,Advanced
28,"Orts, Lucas",A18 / 14 ,M TEAM ,Northern CA ,USA ,4 ,0.67 ,27 ,16 ,+11 ,Advanced
29,"Manley, Thomas",A17 / 91 ,FIT / NJIOT-NCAA ,North TX ,USA ,4 ,0.67 ,23 ,13 ,+10 ,Advanced
30,"Zheng, Andrew",A18 / 36 ,FENCERSCLUB ,Long Island ,USA ,4 ,0.67 ,27 ,18 ,+9 ,Advanced
31,"Antipas, Michael",A16 / 113 ,MISSIONFC ,Long Island ,USA ,4 ,0.67 ,28 ,20 ,+8 ,Advanced
32,"Lu, Kerry",A17 / 82 ,SFFC ,Northern CA ,USA ,4 ,0.67 ,25 ,17 ,+8 ,Advanced
33,"Field, Miles",A17 / 83 ,BBFC ,Metro NYC ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
34,"Tierney, David",A18 ,NAPLESFA ,Central FL ,USA ,4 ,0.67 ,24 ,17 ,+7 ,Advanced
35,"Yee, Maxwell",A18 / 54 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,25 ,19 ,+6 ,Advanced
36,"Mathieu, Adam",A18 / 7 ,FENCERSCLUB ,Metro NYC ,USA ,4 ,0.67 ,24 ,18 ,+6 ,Advanced
37,"Tan, Lawrence",A17 / 81 ,GOLUBITSKYFC / JACKSNVLEFC ,Gateway FL ,PHI ,4 ,0.67 ,23 ,17 ,+6 ,Advanced
38,"Mitberg, Gregory",A17 / 25 ,MARXFENCING / NWFENCINGCTR ,New England ,USA ,4 ,0.67 ,24 ,19 ,+5 ,Advanced
39,"Taqi, Ahmad",A17 ,,Northern OH ,KUW ,4 ,0.67 ,24 ,20 ,+4 ,Advanced
40,"DeBack, Maximus",A18 / 114 ,GRAPIDSFA ,Michigan ,USA ,4 ,0.67 ,26 ,24 ,+2 ,Advanced
41,"Hadler, David",A18 / 44 ,UCA-SANDIEGO ,Northern CA ,USA ,4 ,0.67 ,24 ,22 ,+2 ,Advanced
42,"Reid, Clayton",B17 / 62 ,SFFC ,Northern CA ,USA ,4 ,0.67 ,23 ,21 ,+2 ,Advanced
43,"Wriedt, Nathan",A18 / 53 ,ATABAFC ,Wisconsin ,USA ,4 ,0.67 ,22 ,21 ,+1 ,Advanced
44,"Candescu, Cristian",A17 ,VFENCING ,New Jersey ,ROU ,4 ,0.67 ,21 ,22 ,-1 ,Advanced
45,"Bourtis, James",A18 / 64 ,ROCHESTERFC ,Western NY ,USA ,4 ,0.67 ,21 ,24 ,-3 ,Advanced
46,"Rheingans-Yoo, Duncan",A17 / 30 ,UNAT / MARXFENCING ,New England ,USA ,3 ,0.60 ,23 ,16 ,+7 ,Advanced
47,"Gassner, Ethan",A18 ,SFFC ,Northern CA ,USA ,3 ,0.60 ,22 ,17 ,+5 ,Advanced
