1,"ITKIN, Nick",LAIFC / NOTREDAME ,Southern CA ,USA ,A17 ,
2,"KUMBLA, Sidarth",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
3T,"TOURETTE, Geoffrey",UNAT / SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
3T,"ORTS, Lucas",M TEAM ,Northern CA ,USA ,A17 ,
5,"KANESHIGE, Brian",DFA ,New Jersey ,USA ,A16 ,A17 
6,"CHANG, Jerry",,Central CA ,USA ,A17 ,
7,"RHEINGANS-YOO, Duncan",UNAT / MARX FENCING ,New England ,USA ,A17 ,
8,"CHEN, Earnest",FENCERS ,Connecticut ,USA ,A16 ,A17 
9,"MACHOVEC, Andrew",5TFC ,Long Island ,USA ,A17 ,
10,"HAGLUND, George",UNAT / DFA ,New Jersey ,USA ,A16 ,
11,"BROSZUS, Blake",SILICONVALLEYFCTR ,Central CA ,CAN ,A17 ,
12,"MITBERG, Gregory",MARX FENCING / NWFC ,New England ,USA ,A17 ,
13,"WU, Jerry",TOUCHE ,Central CA ,USA ,A17 ,
14,"DANIEL, Ashton",SILICONVALLEYFCTR ,Central CA ,USA ,A17 ,
15,"SAMORA, Jose",BROKLN BRIDG. F.C. ,Metro NYC ,DOM ,A17 ,
16,"KAISER, Hans",RENFENC ,Michigan ,USA ,A17 ,
17,"MEMANI, Apurva",VFC ,New Jersey ,USA ,B17 ,
18,"CHIANG, Will",MARX FENCING ,New England ,USA ,B16 ,
19,"MOELIS, Samuel (Sam)",,Long Island ,USA ,A17 ,
20,"PAIK, Joon",FENCERS ,New Jersey ,USA ,A17 ,
21,"MATHIEU, Adam",FENCERS ,Metro NYC ,USA ,A17 ,
22,"LEVY, Jasper",BROKLN BRIDG. F.C. ,Long Island ,USA ,A17 ,
23,"ZAROFF, Leo",SANFRANFC ,Northern CA ,USA ,A16 ,
24,"LOUIE, Bryce",LAIFC ,Southern CA ,USA ,A17 ,
25,"OSTATNIGROSH, Andrey",PSU ,Mt. Valley ,USA ,A14 ,
26,"CHOO, Joseph",NWFC ,Nevada ,USA ,A17 ,
27,"LU, Kerry",SANFRANFC ,Northern CA ,USA ,A17 ,
28,"MINDELOF, Vincent",,Metro NYC ,SWE ,B16 ,
29,"BLUMENTALS, Renars",UIW FENCING CENTER ,South TX ,LAT ,A16 ,
30,"GRIFFITH, Jordan",USAFA ,Colorado ,USA ,A16 ,
31,"SCARPA, Ryan",5TFC ,Long Island ,USA ,A17 ,
