1,"Homer, Daryl",PETERWE ,Metro NYC ,USA ,A18 ,
2,"Natanzon, Benjamin",MANHATTAN ,Metro NYC ,USA ,A18 ,
3T,"Saron, Mitchell",BERGEN F.C. ,New Jersey ,USA ,A18 ,
3T,"Shainberg, Jonah",NOTREDAME / TIM MOREHOUSE FENCING ,West-Rock ,USA ,A17 ,A18 
5,"Williams, Grant",DURKAN / NYU ,Georgia ,USA ,A17 ,A18 
6,"Contreras, Alessandro",CAPITAL ,Capitol ,USA ,A18 ,
7,"Prochniak, Evan",NYAC / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,A17 ,A18 
8,"Armijo, Gabriel",MANHATTAN ,San Diego ,USA ,A17 ,A18 
9,"Spear, Jeff",NYAC ,Metro NYC ,USA ,A18 ,
10,"Souders, Peter",BOSTN FNCNG. CLB. / DCFC ,Capitol ,USA ,A18 ,
11,"Costin, Michael",AGFC ,Southern CA ,USA ,A16 ,
12,"Walker, Christopher",NELLYA ,Georgia ,USA ,A18 ,
13,"Sieradzky, Dawson",MANHATTAN / COLUMBF ,New Jersey ,USA ,A17 ,
14,"Fields, Malcolm",AFFA ,New Jersey ,USA ,A18 ,
15,"Igoe, Benjamin",NYAC ,Metro NYC ,USA ,A14 ,
16,"Spear, Will",NYAC ,Huds-Berks ,USA ,A18 ,
17,"Dolegiewicz, Filip",MFA ,Illinois ,USA ,A17 ,
18,"Del Vecchio, Nicolas",CAPITAL ,Capitol ,USA ,A18 ,
19,"Zhao, Raymond",NELLYA ,Georgia ,USA ,A18 ,
20,"Swartz, Roscoe",BERGEN F.C. ,New Jersey ,USA ,A18 ,
21,"Burgunder, Quinten",DURKAN ,New Jersey ,USA ,A17 ,
22,"McBride, Jackson",F.C. - AZ ,Arizona ,USA ,B17 ,
23,"Thompson, Khalil",PETERWE / PSU ,Metro NYC ,USA ,A17 ,
24,"Mulvaney, Alec",REDSTAR ,Illinois ,USA ,A18 ,
25,"Cho, Justin",LONESTAR ,North TX ,USA ,A17 ,
26,"Leung, Mark",NELLYA ,Georgia ,USA ,B18 ,
27,"Merchant, Julian",PENN / MANHATTAN ,Metro NYC ,USA ,A17 ,
28,"Stone, Ben",MANHATTAN / DUKEUNIVFC ,Metro NYC ,USA ,A17 ,
29,"Guy, Philippe",UNAT / SPARTAK ,San Diego ,USA ,A17 ,
30,"No, Nicholas",PFA ,Mt. Valley ,USA ,A17 ,
31,"Lortkipanidze, Nickoloz",TIM MOREHOUSE FENCING ,West-Rock ,USA ,B18 ,
32,"Booth, Zaheer",PETERWE / FENCERS ,Metro NYC ,USA ,B17 ,
33,"Bak, Daniel",NYAC ,Metro NYC ,USA ,A14 ,
34,"Loss, Geoffrey",FENCERS / AGFC ,Metro NYC ,USA ,A17 ,
35,"Heathcock, Antonio",PFA / CARDINAL ,Central CA ,USA ,A17 ,
36,"Solomon, Daniel",MISSION F.C. ,Long Island ,USA ,A18 ,
37,"Karam, Tariq",MANHATTAN / SAS ,Metro NYC ,USA ,A18 ,
38,"Linder, James",F.C. - AZ ,Arizona ,USA ,A18 ,
39,"Centanni, Salvatore",,Metro NYC ,USA ,A17 ,
40,"Fotiyev, Alan",STAMFORD F.C. / BERGEN F.C. ,Connecticut ,USA ,A17 ,
41,"Campbell, Colin",NOTREDAME ,Capitol ,USA ,A15 ,
42,"Park, Justin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
43,"Kolasa, Thomas",UNAT / FENCERS ,S. Jersey ,USA ,A18 ,
44,"Landau, Nathaniel",CAPITAL ,Capitol ,USA ,B18 ,
45,"Merchant, Marcel",MANHATTAN ,Metro NYC ,USA ,A17 ,
46,"Kim, Brian",BERGEN F.C. ,New Jersey ,USA ,A18 ,
47,"Johnson, Andrew",F.C. - AZ ,Arizona ,USA ,A18 ,
48,"Bivins, George",MANHATTAN ,Metro NYC ,USA ,A18 ,
49,"Attig, Will",OREGONFA ,Oregon ,USA ,A17 ,
50,"Nikolai, William",USAFC ,Utah-S.Idaho ,USA ,B16 ,
51,"Ma, Jonathan",LONESTAR ,North TX ,USA ,B18 ,
52,"Scholl, Ben",NOTREDAME / OREGONFA ,Oregon ,USA ,A18 ,
53,"Wisniowski, Michal",AFFA ,New Jersey ,USA ,B16 ,
54,"Szeto, Brian",ZETA FENCING ,New England ,USA ,B18 ,
55T,"Mullennix, Ethan",HLBRSDT ,Northern CA ,USA ,A18 ,
55T,"Lin, Lucas",,North TX ,USA ,B16 ,
57,"Walker, Alex",NELLYA ,Georgia ,USA ,A17 ,
58,"Kim, Stephen",MANHATTAN ,Metro NYC ,USA ,A18 ,
59,"Levitt, Benjamin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
60,"Cohen, Josef",RIFAC / COLUMBF ,New England ,USA ,A18 ,
61,"Kanary, Logan",F.A. DENV. ,Colorado ,USA ,A17 ,
62,"Vidovszky, Robert",PFA ,Mt. Valley ,USA ,A18 ,
63,"Nadile, Henry",TIM MOREHOUSE FENCING ,West-Rock ,USA ,B17 ,
64,"Kokosinski, Eryk",MFA ,Illinois ,USA ,B17 ,
65,"Cohen, Samuel",DCFC / PENNSFC ,Capitol ,USA ,B17 ,
66,"DeScherer, David",BERGEN F.C. ,New Jersey ,USA ,B17 ,
67,"Rohrlack, Charles",REDSTAR ,Illinois ,USA ,A17 ,
68,"Price, Jack",BERGEN F.C. ,New Jersey ,USA ,B17 ,
69,"Chan, Zachary",BERGEN F.C. ,New Jersey ,USA ,B17 ,
70,"Schmitt, Trenton",PFA ,Mt. Valley ,USA ,A17 ,
71,"Chou, Stephen",BERGEN F.C. ,New Jersey ,USA ,B18 ,
72T,"Park, Donghwan",PFA ,Mt. Valley ,USA ,B18 ,
72T,"Kim, Charlson",CHS / ISLAND NY ,Long Island ,USA ,B18 ,
74,"Smith, Jared",AGFC ,Orange Coast ,USA ,A18 ,
75,"Johnson, Zachary",F.C. - AZ ,Arizona ,USA ,A15 ,
76,"Oster, Keegan",HANGTOWN ,Mt. Valley ,USA ,A17 ,
77,"Yen, Joshua",MISSION F.C. ,Long Island ,USA ,C18 ,
