1,"WILLIAMS, Grant",A17 / 9 ,DURKAN / NYU ,Georgia ,USA ,6 ,1.00 ,30 ,4 ,+26 ,Advanced
2,"METRYKA, Karol",A17 / 12 ,PSU / MANHATTAN ,New Jersey ,USA ,6 ,1.00 ,30 ,6 ,+24 ,Advanced
3T,"LOSS, Geoffrey",A17 / 5 ,FENCERS / AGFC ,Metro NYC ,USA ,6 ,1.00 ,30 ,8 ,+22 ,Advanced
3T,"SPEAR, Jeff",A17 / 7 ,NYAC ,Metro NYC ,USA ,6 ,1.00 ,30 ,8 ,+22 ,Advanced
5,"DOLEGIEWICZ, Filip",A17 / 37 ,MFA ,Illinois ,USA ,5 ,1.00 ,25 ,3 ,+22 ,Advanced
6T,"HOMER, Daryl",A17 / 2 ,PETERWE ,Metro NYC ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
6T,"NATANZON, Benjamin",A17 / 4 ,MANHATTAN ,Metro NYC ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
8,"SOUDERS, Peter",A17 / 6 ,BOSTN FNCNG. CLB. / DCFC ,Capitol ,USA ,6 ,1.00 ,30 ,10 ,+20 ,Advanced
9T,"THOMPSON, Khalil",A17 / 27 ,PETERWE / PSU ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
9T,"SARON, Mitchell",A17 / 28 ,BERGEN F.C. ,New Jersey ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
11T,"LAMBERT, Pascal",A16 ,,,CAN ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
11T,"WALKER, Christopher",A17 / 14 ,NELLYA ,Georgia ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
13,"ELSISSY, Ziad",A17 / 39 ,UNAT / WAYNSTU ,Michigan ,EGY ,5 ,1.00 ,25 ,8 ,+17 ,Advanced
14,"ARFA, Fares",A17 / 48 ,,,CAN ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
15T,"MULLENNIX, Ethan",A17 / 46 ,HLBRSDT ,Northern CA ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
15T,"RICHARDS II, Julian",B17 ,BERGEN F.C. ,Huds-Berks ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
17T,"SPEAR, Will",A15 / 24 ,NYAC ,Huds-Berks ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
17T,"SMITH, Jared",A17 / 105 ,AGFC ,Orange Coast ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
19,"STREETS, Kaito",A17 / 13 ,AFFA / MANHATTAN ,New Jersey ,JPN ,5 ,0.83 ,29 ,11 ,+18 ,Advanced
20,"SHAINBERG, Jonah",A17 / 15 ,NOTREDAME / TIM MOREHOUSE FENCING ,West-Rock ,USA ,5 ,0.83 ,29 ,12 ,+17 ,Advanced
21,"PROCHNIAK, Evan",A17 / 8 ,NYAC / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,5 ,0.83 ,28 ,11 ,+17 ,Advanced
22,"IGOE, Benjamin",A14 / 81 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,27 ,12 ,+15 ,Advanced
23,"LANDAU, Nathaniel",B17 / 85 ,CAPITAL ,Capitol ,USA ,5 ,0.83 ,29 ,16 ,+13 ,Advanced
24,"SKEETE, Kamar",A17 / 26 ,NELLYA ,Georgia ,USA ,5 ,0.83 ,26 ,13 ,+13 ,Advanced
25T,"SOLOMON, Daniel",A17 / 42 ,MISSION F.C. ,Long Island ,USA ,5 ,0.83 ,29 ,17 ,+12 ,Advanced
25T,"LINDER, James",A17 / 100 ,F.C. - AZ ,Arizona ,USA ,5 ,0.83 ,29 ,17 ,+12 ,Advanced
27,"DODDO, Andrew",A16 / 69 ,NYAC / COLUMBF ,Metro NYC ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
28,"MACKIEWICZ, Andrew",A17 / 3 ,UNAT / ZETA FENCING ,Central PA ,USA ,5 ,0.83 ,27 ,15 ,+12 ,Advanced
29,"NO, Nicholas",A17 / 53 ,PFA ,Mt. Valley ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
30,"FITZGERALD, Jonathan",A17 / 17 ,MANHATTAN / NOTREDAME ,New Jersey ,USA ,5 ,0.83 ,28 ,18 ,+10 ,Advanced
31,"TORDO, Garrett",B17 / 60 ,BRANDEIS / ZETA FENCING ,New England ,USA ,5 ,0.83 ,29 ,20 ,+9 ,Advanced
32,"JULIEN, William A",A17 / 102 ,SON ,Gold Coast ,USA ,5 ,0.83 ,28 ,19 ,+9 ,Advanced
33,"RICHARDSON, Andrew",B17 ,,N. Carolina ,USA ,5 ,0.83 ,26 ,20 ,+6 ,Advanced
34,"OH, Jason",A17 / 36 ,MANHATTAN ,Metro NYC ,USA ,4 ,0.80 ,23 ,13 ,+10 ,Advanced
35,"CAI, Erwin",A17 / 35 ,UNAT / NELLYA ,Georgia ,USA ,4 ,0.80 ,21 ,15 ,+6 ,Advanced
36,"LEVITT, Benjamin",A17 / 111 ,BERGEN F.C. ,New Jersey ,USA ,4 ,0.80 ,20 ,14 ,+6 ,Advanced
37,"ZHAO, Eric",C17 / 106 ,,Capitol ,USA ,4 ,0.67 ,25 ,12 ,+13 ,Advanced
38,"KIM, Stephen",B17 ,MANHATTAN ,Metro NYC ,USA ,4 ,0.67 ,26 ,14 ,+12 ,Advanced
39,"MERCHANT, Marcel",A17 ,MANHATTAN ,Metro NYC ,USA ,4 ,0.67 ,25 ,14 ,+11 ,Advanced
