1,"Homer, Daryl",PWESTBROOK ,Metro NYC ,USA ,A18 ,
2,"Elsissy, Ziad",UNAT / WAYNESTATEU ,,EGY ,A17 ,A18 
3T,"Mackiewicz, Andrew",PENNSTATEUFC / ZETAFENCING ,Central PA ,USA ,A18 ,
3T,"Souders, Peter",BOSTONFC / DCFENCERS ,Capitol ,USA ,A18 ,
5,"Dolegiewicz, Filip",MIDWESTFC ,Illinois ,USA ,A17 ,A18 
6,"Solomon, Daniel",MISSIONFC ,Long Island ,USA ,A18 ,
7,"Metryka, Karol",PASTATEUNIV / MANHATTANFC ,New Jersey ,USA ,A18 ,
8,"Cai, Erwin",UNAT / NELLYA ,Georgia ,USA ,A18 ,
9,"Thompson, Khalil",PWESTBROOK / PASTATEUNIV ,Metro NYC ,USA ,A17 ,
10,"Williams, Grant",DURKANFA / NYU ,Georgia ,USA ,A18 ,
11,"Doddo, Andrew",FENCERSCLUB / COLUMBIAU ,Metro NYC ,USA ,A18 ,
12,"Merchant, Julian",UNIVPA / MANHATTANFC ,Metro NYC ,USA ,A17 ,
13,"Guy, Philippe",UNAT / SPARTAK ,San Diego ,USA ,A17 ,
14,"Loss, Geoffrey",FENCERSCLUB / AGFC (CA) ,Metro NYC ,USA ,A17 ,
15,"Zhao, Raymond",NELLYA ,Georgia ,USA ,A18 ,
16,"Bivins, George",MANHATTANFC ,Metro NYC ,USA ,A18 ,
17,"Shainberg, Jonah",NOTREDAME / TIMMOREHOUSE ,West-Rock ,USA ,A18 ,
18,"Stone, Ben",MANHATTANFC / DUKEUNIVNCAA ,Metro NYC ,USA ,A17 ,
19,"Skeete, Kamar",NELLYA ,Georgia ,USA ,A18 ,
20,"Costin, Michael",AGFC (CA) ,Southern CA ,USA ,A18 ,
21,"Rohrlack, Charles",REDSTARCHICG ,Illinois ,USA ,A18 ,
22,"Spear, Jeff",NYAC ,Metro NYC ,USA ,A18 ,
23,"Kolasa, Thomas",UNAT / FENCERSCLUB ,S. Jersey ,USA ,A18 ,
24T,"Fields, Malcolm",AFFA ,New Jersey ,USA ,A18 ,
24T,"Saron, Mitchell",BERGENFC ,New Jersey ,USA ,A18 ,
26,"Mullennix, Ethan",HALBERSTADT ,Northern CA ,USA ,A18 ,
27,"McBride, Jackson",FCOAZ ,Arizona ,USA ,B17 ,
28,"Panteleev, Arsenii",NOTREDAME ,Indiana ,,A16 ,
29,"Lortkipanidze, Nickoloz",TIMMOREHOUSE ,West-Rock ,USA ,B18 ,
30,"Sieradzky, Dawson",MANHATTANFC / COLUMBIAU ,New Jersey ,USA ,A17 ,
31,"Walker, Alex",NELLYA ,Georgia ,USA ,A17 ,
32,"Cho, Justin",LONESTARFC ,North TX ,USA ,A17 ,
33,"Walker, Christopher",NELLYA ,Georgia ,USA ,A18 ,
34,"Armijo, Gabriel",MANHATTANFC ,San Diego ,USA ,A18 ,
35,"Lin, Xiteng (Steven)",OREGONFA ,Oregon ,CHN ,A18 ,
36,"Merchant, Marcel",MANHATTANFC ,Metro NYC ,USA ,A17 ,
37,"Xu, Ryan",,,CAN ,B17 ,
38,"Richards II, Julian",BERGENFC ,New Jersey ,GBR ,A18 ,
39,"Liu, Shu",WESTCOASTFA ,San Bern'do ,CHN ,B18 ,
40,"Prochniak, Evan",NYAC / CAMBRDGEFCNT ,Metro NYC ,USA ,A18 ,
41,"Johnson, Zachary",FCOAZ / BERGENFC ,Arizona ,USA ,A15 ,
42,"Cohen, Josef",RIFAC / COLUMBIAU ,New England ,USA ,A18 ,
43,"Linder, James",FCOAZ ,Arizona ,USA ,A18 ,
