1,"Shainberg, Jonah",A18 / 13 ,NOTREDAME / TIMMOREHOUSE ,West-Rock ,USA ,6 ,1.00 ,30 ,6 ,+24 ,Advanced
2,"Dolegiewicz, Filip",A17 / 28 ,MIDWESTFC ,Illinois ,USA ,6 ,1.00 ,30 ,7 ,+23 ,Advanced
3,"Souders, Peter",A18 / 7 ,BOSTONFC / DCFENCERS ,Capitol ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
4,"Homer, Daryl",A18 / 2 ,PWESTBROOK ,Metro NYC ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
5,"Walker, Christopher",A18 / 19 ,NELLYA ,Georgia ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
6,"Solomon, Daniel",A18 / 41 ,MISSIONFC ,Long Island ,USA ,6 ,1.00 ,30 ,17 ,+13 ,Advanced
7,"Elsissy, Ziad",A17 / 21 ,UNAT / WAYNESTATEU ,,EGY ,6 ,1.00 ,30 ,18 ,+12 ,Advanced
8,"Thompson, Khalil",A17 / 14 ,PWESTBROOK / PASTATEUNIV ,Metro NYC ,USA ,5 ,0.83 ,29 ,10 ,+19 ,Advanced
9,"Metryka, Karol",A18 / 9 ,PASTATEUNIV / MANHATTANFC ,New Jersey ,USA ,5 ,0.83 ,26 ,9 ,+17 ,Advanced
10,"Williams, Grant",A18 / 11 ,DURKANFA / NYU ,Georgia ,USA ,5 ,0.83 ,29 ,14 ,+15 ,Advanced
11,"Armijo, Gabriel",A18 / 18 ,MANHATTANFC ,San Diego ,USA ,5 ,0.83 ,27 ,12 ,+15 ,Advanced
12,"Stone, Ben",A17 / 53 ,MANHATTANFC / DUKEUNIVNCAA ,Metro NYC ,USA ,5 ,0.83 ,29 ,16 ,+13 ,Advanced
13,"Lin, Xiteng (Steven)",A18 / 37 ,OREGONFA ,Oregon ,CHN ,5 ,0.83 ,29 ,17 ,+12 ,Advanced
14T,"Doddo, Andrew",A18 / 40 ,FENCERSCLUB / COLUMBIAU ,Metro NYC ,USA ,5 ,0.83 ,29 ,19 ,+10 ,Advanced
14T,"Merchant, Marcel",A17 / 66 ,MANHATTANFC ,Metro NYC ,USA ,5 ,0.83 ,29 ,19 ,+10 ,Advanced
