1,"MACKIEWICZ, Andrew",UNAT / ZETA FENCING ,Central PA ,USA ,A16 ,A17 
2,"STREETS, Kaito",AFFA / MANHATTAN ,New Jersey ,JPN ,A16 ,A17 
3T,"SOUDERS, Peter",BOSTON FC / DCFC ,Capitol ,USA ,A17 ,
3T,"METRYKA, Karol",PSU / MANHATTAN ,New Jersey ,USA ,A17 ,
5T,"WALKER, Christopher",NELLYA ,Georgia ,USA ,A17 ,
5T,"PROCHNIAK, Evan",UNAT / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,A17 ,
7,"LIANG, Calvin",MANHATTAN ,Arizona ,USA ,A17 ,
8,"THOMPSON, Khalil",UNAT / PSU ,Metro NYC ,USA ,A17 ,
9,"COSTIN, Michael",AGFC ,Southern CA ,USA ,A16 ,
10,"SKEETE, Kamar",NELLYA ,Georgia ,USA ,A17 ,
11,"ROHRLACK, Charles",REDSTAR ,Illinois ,USA ,A17 ,
12,"DOLEGIEWICZ, Filip",MFA ,Illinois ,USA ,A17 ,
13,"NYDAM, Barron",SPARTAK ,San Diego ,USA ,A15 ,
14,"KANARY, Logan",F.A. DENV. ,Colorado ,USA ,A17 ,
15,"BOROJERDI, Ameen",F.C. - AZ ,Arizona ,USA ,A17 ,
16,"CAI, Erwin",UNAT / NELLYA ,Georgia ,USA ,A17 ,
17,"MERCHANT, Julian",UNAT / MANHATTAN ,Philadelphia ,USA ,A17 ,
18,"DI TELLA, Pascual",ZETA FENCING / DUKEUNIVFC ,New England ,USA ,A14 ,
19,"NATANZON, Benjamin",MANHATTAN ,Metro NYC ,USA ,A17 ,
20,"SOLOMON, Daniel",MISSION F.C. ,Long Island ,USA ,A17 ,
21,"PARK, Donghwan",PFA ,Mt. Valley ,USA ,B17 ,
22,"ZHAO, Raymond",NELLYA ,Georgia ,USA ,A17 ,
23,"DODDO, Andrew",FENCERS ,Metro NYC ,USA ,A16 ,
24,"SARON, Mitchell",BERGEN F.C. ,New Jersey ,USA ,A17 ,
25,"SWARTZ, Roscoe",BERGEN F.C. ,New Jersey ,USA ,A17 ,
26,"SIERADZKY, Dawson",BERGEN F.C. ,New Jersey ,USA ,A17 ,
27,"CALLAHAN, Kevin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
28,"CONTRERAS, Alessandro",CAPITAL ,Capitol ,USA ,A17 ,
29,"WILLIAMS, Grant",,Georgia ,USA ,A17 ,
30,"WALTER, Agoston",DUKEUNIVFC / ZETA FENCING ,Central FL ,USA ,A16 ,
31,"CHAYEVSKY, Kirk",NELLYA ,Georgia ,USA ,C17 ,
32,"CAMPBELL, Colin",NOTREDAME ,Capitol ,USA ,A15 ,
33,"CENTANNI, Salvatore",MANHATTAN ,Metro NYC ,USA ,A17 ,
34,"LANDAU, Nathaniel",CAPITAL ,Capitol ,USA ,B17 ,
35,"VIDOVSZKY, Robert",PFA ,Mt. Valley ,USA ,A17 ,
36,"MULLENNIX, Ethan",HLBRSDT ,Northern CA ,USA ,A17 ,
