1,"MACKIEWICZ, Andrew",A16 / 21 ,UNAT / ZETA FENCING ,Central PA ,USA ,6 ,1.00 ,30 ,5 ,+25 ,Advanced
2,"MERCHANT, Julian",A17 / 14 ,UNAT / MANHATTAN ,Philadelphia ,USA ,6 ,1.00 ,30 ,8 ,+22 ,Advanced
3T,"WALKER, Christopher",A17 / 18 ,NELLYA ,Georgia ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
3T,"DI TELLA, Pascual",A14 / 44 ,ZETA FENCING / DUKEUNIVFC ,New England ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
3T,"PROCHNIAK, Evan",A17 / 7 ,UNAT / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
6,"COSTIN, Michael",A16 / 23 ,AGFC ,Southern CA ,USA ,6 ,1.00 ,30 ,10 ,+20 ,Advanced
7,"SOUDERS, Peter",A17 / 9 ,BOSTON FC / DCFC ,Capitol ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
8T,"NATANZON, Benjamin",A17 / 6 ,MANHATTAN ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
8T,"OH, Jason",A17 / 38 ,MANHATTAN ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
10T,"STREETS, Kaito",A16 / 8 ,AFFA / MANHATTAN ,New Jersey ,JPN ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
10T,"SKEETE, Kamar",A17 / 39 ,NELLYA ,Georgia ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
12T,"CENTANNI, Salvatore",A17 / 19 ,MANHATTAN ,Metro NYC ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
12T,"SOLOMON, Daniel",A17 / 32 ,MISSION F.C. ,Long Island ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
14T,"LANDAU, Nathaniel",B17 / 104 ,CAPITAL ,Capitol ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
14T,"LIANG, Calvin",A17 / 10 ,MANHATTAN ,Arizona ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
14T,"PARK, Donghwan",B17 ,PFA ,Mt. Valley ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
17,"ROHRLACK, Charles",A17 / 37 ,REDSTAR ,Illinois ,USA ,6 ,1.00 ,30 ,18 ,+12 ,Advanced
18T,"DOLEGIEWICZ, Filip",A17 / 47 ,MFA ,Illinois ,USA ,5 ,0.83 ,28 ,11 ,+17 ,Advanced
18T,"ZHAO, Raymond",A17 / 17 ,NELLYA ,Georgia ,USA ,5 ,0.83 ,28 ,11 ,+17 ,Advanced
20,"DODDO, Andrew",A16 / 35 ,FENCERS ,Metro NYC ,USA ,5 ,0.83 ,27 ,11 ,+16 ,Advanced
21,"VIDOVSZKY, Robert",A17 / 52 ,PFA ,Mt. Valley ,USA ,5 ,0.83 ,29 ,14 ,+15 ,Advanced
22,"MULLENNIX, Ethan",A17 / 60 ,HLBRSDT ,Northern CA ,USA ,5 ,0.83 ,28 ,13 ,+15 ,Advanced
23,"LIN, Xiteng (Steven)",A17 / 41 ,,,CHN ,5 ,0.83 ,29 ,15 ,+14 ,Advanced
24,"NYDAM, Barron",A15 ,SPARTAK ,San Diego ,USA ,5 ,0.83 ,28 ,14 ,+14 ,Advanced
25,"THOMPSON, Khalil",A17 / 25 ,UNAT / PSU ,Metro NYC ,USA ,5 ,0.83 ,27 ,13 ,+14 ,Advanced
26,"BOOTH, Zaheer",B17 / 79 ,UNAT / FENCERS ,Metro NYC ,USA ,5 ,0.83 ,29 ,16 ,+13 ,Advanced
27,"SARON, Mitchell",A17 / 26 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,28 ,15 ,+13 ,Advanced
28,"BIVINS, George",B17 ,MANHATTAN ,Metro NYC ,USA ,5 ,0.83 ,27 ,14 ,+13 ,Advanced
29,"ACUÑA RAMIREZ, Adrian",A16 / 80 ,F.C. - AZ ,Arizona ,MEX ,5 ,0.83 ,26 ,13 ,+13 ,Advanced
30T,"SWARTZ, Roscoe",A17 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
30T,"LOSS, Geoffrey",A17 / 3 ,FENCERS / AGFC ,Metro NYC ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
30T,"GEORGE, Evan",B16 ,U.C.S.D. ,Central CA ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
33,"WALKER, Alex",A17 / 48 ,NELLYA ,Georgia ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
34T,"SIERADZKY, Dawson",A17 / 106 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,29 ,19 ,+10 ,Advanced
34T,"KANARY, Logan",A17 ,F.A. DENV. ,Colorado ,USA ,5 ,0.83 ,29 ,19 ,+10 ,Advanced
36,"BOROJERDI, Ameen",A17 / 57 ,F.C. - AZ ,Arizona ,USA ,5 ,0.83 ,27 ,17 ,+10 ,Advanced
37,"CALLAHAN, Kevin",A17 / 75 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,29 ,20 ,+9 ,Advanced
38,"COHEN, Josef",A17 / 50 ,RIFAC ,New England ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
39,"CONTRERAS, Alessandro",A17 ,CAPITAL ,Capitol ,USA ,5 ,0.83 ,27 ,21 ,+6 ,Advanced
40,"SERRAHIMA, Pepe",B16 ,,Orange Coast ,ESP ,4 ,0.80 ,23 ,14 ,+9 ,Advanced
41,"FIELDS, Malcolm",A16 / 45 ,AFFA ,New Jersey ,USA ,4 ,0.80 ,22 ,17 ,+5 ,Advanced
42T,"PANTELEEV, Arsenii",A16 / 99 ,NOTREDAME ,Indiana ,RUS ,4 ,0.67 ,28 ,17 ,+11 ,Advanced
42T,"WILLIAMS, Grant",A17 / 13 ,,Georgia ,USA ,4 ,0.67 ,28 ,17 ,+11 ,Advanced
44,"CAI, Erwin",A17 / 58 ,UNAT / NELLYA ,Georgia ,USA ,4 ,0.67 ,27 ,17 ,+10 ,Advanced
45,"SUN, Andrew",A17 / 24 ,PENN / NELLYA ,Georgia ,USA ,4 ,0.67 ,28 ,19 ,+9 ,Advanced
46,"WESTERN, Rafael",A16 / 42 ,TIM MOREHOUSE FENCING ,Metro NYC ,PUR ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
47,"NO, Nicholas",A17 / 43 ,PFA ,Mt. Valley ,USA ,4 ,0.67 ,24 ,16 ,+8 ,Advanced
