1,"Sirico, Amanda",DCFC ,Capitol ,USA ,A17 ,A18 
2,"Nixon, Catherine (Kasia)",PRNCTONU. / LAIFC ,Southern CA ,USA ,A18 ,
3T,"Vie, Natalie",NYAC / LAIFC ,Arizona ,USA ,A18 ,
3T,"Holmes, Katharine",NYAC / PRNCTONU. ,Capitol ,USA ,A18 ,
5,"Vermeule, Emily",OLYMPIA F. C. ,New England ,USA ,A18 ,
6,"Liang, Rui ( Jessica )",ALLIANCE F.A. ,Gulf Coast ,USA ,A18 ,
7,"Ma, Joy",NORTHSFC ,Long Island ,USA ,A18 ,
8,"Mangano, Ariana",NYAC / ATLANTIC F.A. ,New Jersey ,USA ,A18 ,
9,"Bassa, Francesca",ALLIANCE F.A. ,Gulf Coast ,USA ,A18 ,
10,"Bates, Cassandra",MARX FENCING ,New England ,USA ,A17 ,
11,"Vierheller, Giana",ALLIANCE F.A. ,Gulf Coast ,USA ,A18 ,
12,"Cebula, Anne",FENCERS ,Metro NYC ,USA ,A17 ,
13,"Toby, Natalia",FADU ,New Jersey ,USA ,A17 ,
14,"Hamilton, Pauline",NOWESTU / RMFA ,Colorado ,USA ,A18 ,
15,"Komar, Sofia",MEDEO F.C. ,New Jersey ,USA ,A18 ,
16,"Eno, Megan",NWFC ,Oregon ,USA ,A18 ,
17,"Candreva, Greta",NYAC / OLYMPIA F. C. ,West-Rock ,USA ,A18 ,
18,"Chimahusky, Rebecca",DCFC ,Capitol ,USA ,A17 ,
19,"Snider, Margot",,Iowa ,USA ,A17 ,
20,"Grady, Miriam",NORCOLO ,Colorado ,USA ,A18 ,
21,"Yefremenko, Dariya (Dasha)",MEDEO F.C. / NOTREDAME ,New Jersey ,USA ,A18 ,
22,"Washington, Isis",PETERWE / TOP F.C. ,Metro NYC ,USA ,A18 ,
23,"Lombard, Ella",NOWESTU / RIVERSIDE ,Illinois ,USA ,B17 ,
24,"Lin, Jessica",MEDEO F.C. ,New Jersey ,USA ,A18 ,
25,"Buechel, Holly",NYAC ,Metro NYC ,USA ,A17 ,
26,"Angen, Katie",NYAC / COLUMBF ,Metro NYC ,USA ,A15 ,
27,"Joyce, Michaela",LIFC ,Virginia ,USA ,B18 ,
28,"Dumas, Courtney",WCFA ,Illinois ,USA ,A15 ,
