1,"Holmes, Katharine",A18 / 2 ,NYAC / PRNCTONU. ,Capitol ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
2,"Vermeule, Emily",A18 / 25 ,OLYMPIA F. C. ,New England ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
3,"Guzzi Vincenti, Margherita",A17 / 19 ,ATABA F.C. ,Wisconsin ,USA ,5 ,1.00 ,25 ,10 ,+15 ,Advanced
4,"Candreva, Greta",A18 / 10 ,NYAC / OLYMPIA F. C. ,West-Rock ,USA ,5 ,1.00 ,25 ,13 ,+12 ,Advanced
5,"Bassa, Francesca",A18 / 7 ,ALLIANCE F.A. ,Gulf Coast ,USA ,6 ,1.00 ,27 ,16 ,+11 ,Advanced
6,"Chimahusky, Rebecca",A17 / 58 ,DCFC ,Capitol ,USA ,5 ,1.00 ,23 ,14 ,+9 ,Advanced
7,"Vie, Natalie",A18 / 4 ,NYAC / LAIFC ,Arizona ,USA ,5 ,0.83 ,28 ,15 ,+13 ,Advanced
8,"O'Reilly, Meghan",A16 / 78 ,OLYMPIA F. C. / TWORAVENS ,New England ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
9,"Snider, Margot",A17 / 88 ,,Iowa ,USA ,5 ,0.83 ,29 ,18 ,+11 ,Advanced
10,"Rausch, Ariana",A18 / 72 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
11,"Nixon, Catherine (Kasia)",A18 / 5 ,PRNCTONU. / LAIFC ,Southern CA ,USA ,5 ,0.83 ,26 ,15 ,+11 ,Advanced
12,"Grady, Miriam",A18 / 34 ,NORCOLO ,Colorado ,USA ,5 ,0.83 ,29 ,19 ,+10 ,Advanced
13,"Yefremenko, Dariya (Dasha)",A18 / 42 ,MEDEO F.C. / NOTREDAME ,New Jersey ,USA ,5 ,0.83 ,28 ,19 ,+9 ,Advanced
14,"Liang, Rui ( Jessica )",A18 / 52 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.80 ,21 ,12 ,+9 ,Advanced
15,"Bates, Cassandra",A17 / 16 ,MARX FENCING ,New England ,USA ,4 ,0.80 ,22 ,21 ,+1 ,Advanced
16T,"Landwehr, Helen",A14 / 69 ,USAFA / FRFC ,Colorado ,USA ,4 ,0.67 ,27 ,17 ,+10 ,Advanced
16T,"Vierheller, Giana",A18 / 8 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,27 ,17 ,+10 ,Advanced
18,"Gisolfi-McCready, Kaija",A17 / 33 ,MARX FENCING ,New England ,USA ,4 ,0.67 ,24 ,16 ,+8 ,Advanced
19,"Washington, Isis",A18 / 9 ,PETERWE / TOP F.C. ,Metro NYC ,USA ,4 ,0.67 ,23 ,18 ,+5 ,Advanced
20,"Ma, Joy",A18 / 43 ,NORTHSFC ,Long Island ,USA ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
21,"Beddingfield, Claire",A18 / 32 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,20 ,17 ,+3 ,Advanced
22,"Proctor, Sara",A18 / 92 ,NORCOLO ,Colorado ,USA ,4 ,0.67 ,25 ,26 ,-1 ,Advanced
23,"Lombard, Ella",B17 / 100 ,NOWESTU / RIVERSIDE ,Illinois ,USA ,3 ,0.60 ,23 ,18 ,+5 ,Advanced
24T,"Mangano, Ariana",A18 / 11 ,NYAC / ATLANTIC F.A. ,New Jersey ,USA ,3 ,0.60 ,20 ,15 ,+5 ,Advanced
24T,"Yamanaka, Mina",A18 / 51 ,NYAC ,Long Island ,USA ,3 ,0.60 ,20 ,15 ,+5 ,Advanced
26,"Bulavko, Sonia",A18 ,AFM ,Central CA ,USA ,3 ,0.60 ,22 ,20 ,+2 ,Advanced
27T,"Dunlap-Smith, Azaline",A17 / 24 ,,Minnesota ,USA ,3 ,0.60 ,21 ,19 ,+2 ,Advanced
27T,"Lin, Jessica",A18 / 55 ,MEDEO F.C. ,New Jersey ,USA ,3 ,0.60 ,21 ,19 ,+2 ,Advanced
29,"Cebula, Anne",A17 / 20 ,FENCERS ,Metro NYC ,USA ,3 ,0.60 ,21 ,20 ,+1 ,Advanced
30,"Lanzman, Anna",B17 / 60 ,NYFA ,Metro NYC ,USA ,3 ,0.60 ,21 ,21 ,0 ,Advanced
31,"Stewart, Tatijana",A17 / 12 ,SF / PRNCTONU. ,Utah-S.Idaho ,USA ,3 ,0.60 ,18 ,18 ,0 ,Advanced
32,"Buechel, Holly",A17 / 13 ,NYAC ,Metro NYC ,USA ,3 ,0.60 ,21 ,22 ,-1 ,Advanced
33,"Adams Kim, Madeline",A16 / 65 ,FAP ,Philadelphia ,USA ,3 ,0.60 ,18 ,19 ,-1 ,Advanced
34,"Angen, Katie",A15 / 53 ,NYAC / COLUMBF ,Metro NYC ,USA ,3 ,0.60 ,16 ,20 ,-4 ,Advanced
35,"Toby, Natalia",A17 / 81 ,FADU ,New Jersey ,USA ,3 ,0.50 ,24 ,20 ,+4 ,Advanced
