1,"Hurley, Courtney",NYAC / ALLIANCE F.A. ,South TX ,USA ,A17 ,
2,"Vie, Natalie",NYAC / LAIFC ,Arizona ,USA ,A17 ,
3T,"Bates, Cassandra",MARX FENCING ,New England ,USA ,A16 ,A17 
3T,"Hurley, Kelley",NYAC / ALLIANCE F.A. ,South TX ,USA ,A17 ,
5,"VanBenthuysen, Barbara",PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
6,"Buechel, Holly",NYAC ,Metro NYC ,USA ,A16 ,A17 
7,"Klára, Zsuzsanna",W.F.A. ,Western WA ,HUN ,B17 ,A17 
8,"Vierheller, Giana",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
9,"Mangano, Ariana",NYAC / ATLANTIC F.A. ,New Jersey ,USA ,A17 ,
10,"Sheffield, Lake Mawu",UNAT / FENCERS ,Metro NYC ,USA ,A17 ,
11,"Fornaris, Susana",EPEE MIAMI ,Gold Coast ,USA ,B16 ,B17 
12,"Washington, Isis",UNAT / TOP F.C. ,Metro NYC ,USA ,A16 ,
13,"Pirkowski, Amanda",STOCCATAFAC ,Central FL ,USA ,A16 ,
14,"Mo, Victoria",NYAC ,Orange Coast ,USA ,A15 ,
15,"Jeong, Eunyoung",LAIFC ,Southern CA ,KOR ,U ,B17 
16,"Cebula, Anne",FENCERS ,Metro NYC ,USA ,A17 ,
17,"Kopecky, Lydia",NYAC ,Metro NYC ,USA ,A15 ,
18,"Guzzi Vincenti, Margherita",ATABA F.C. ,Wisconsin ,USA ,A17 ,
19,"Phillips, Summer",WOODLANDS ,Gulf Coast ,USA ,A16 ,
20,"Dumas, Courtney",WCFA ,Illinois ,USA ,A15 ,
21,"Eno, Megan",NWFC ,Oregon ,USA ,A17 ,
22,"Bassa, Francesca",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
23,"Yamanaka, Mina",NYAC ,Long Island ,USA ,A16 ,
24,"Park, Yoohyun",NWFC ,Oregon ,USA ,B17 ,
25,"Candreva, Greta",NYAC / OLYMPIA F. C. ,West-Rock ,USA ,A17 ,
26,"Gisolfi-McCready, Kaija",MARX FENCING ,New England ,USA ,A17 ,
27,"Beddingfield, Claire",LAIFC ,Southern CA ,USA ,A17 ,
28,"Liang, Rui ( Jessica )",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
29,"Gregory, Elizabeth",ALLIANCE F.A. ,Gulf Coast ,USA ,C17 ,
30,"Hoppe Montanaro, Malinka",,,CAN ,A17 ,
31,"Daniel, Chloe",FORTUNE ,Southern CA ,USA ,A17 ,
32,"Lurye, Sarah",WCFA ,Illinois ,USA ,A17 ,
33,"Dunlap-Smith, Azaline",,Minnesota ,USA ,A16 ,
34,"Luke, Marielle",TU OWLS / W.F.A. ,Alaska ,USA ,B17 ,
35,"Shamsian, Shaya",LAIFC ,Southern CA ,USA ,B17 ,
36,"Huellas-Bruskiewicz, Marie-Rose",,,CAN ,C16 ,
37,"Toby, Natalia",UNAT / DFA ,New Jersey ,USA ,A17 ,
38,"Vermeule, Emily",OLYMPIA F. C. ,New England ,USA ,A17 ,
