1,"Hurley, Kelley",A17 / 1 ,NYAC / ALLIANCE F.A. ,South TX ,USA ,6 ,1.00 ,29 ,8 ,+21 ,Advanced
2,"Vie, Natalie",A17 / 7 ,NYAC / LAIFC ,Arizona ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
3,"Dunlap-Smith, Azaline",A16 / 25 ,,Minnesota ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
4,"Luke, Marielle",B17 ,TU OWLS / W.F.A. ,Alaska ,USA ,5 ,1.00 ,25 ,8 ,+17 ,Advanced
5,"Hurley, Courtney",A17 / 2 ,NYAC / ALLIANCE F.A. ,South TX ,USA ,6 ,1.00 ,28 ,12 ,+16 ,Advanced
6,"Shamsian, Shaya",B17 / 88 ,LAIFC ,Southern CA ,USA ,6 ,1.00 ,29 ,14 ,+15 ,Advanced
7,"Kopecky, Lydia",A15 / 52 ,NYAC ,Metro NYC ,USA ,5 ,1.00 ,25 ,10 ,+15 ,Advanced
8T,"Mangano, Ariana",A17 / 8 ,NYAC / ATLANTIC F.A. ,New Jersey ,USA ,6 ,1.00 ,30 ,17 ,+13 ,Advanced
8T,"Guzzi Vincenti, Margherita",A17 / 9 ,ATABA F.C. ,Wisconsin ,USA ,6 ,1.00 ,30 ,17 ,+13 ,Advanced
10,"VanBenthuysen, Barbara",A17 / 18 ,PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,1.00 ,25 ,13 ,+12 ,Advanced
11,"Phillips, Summer",A16 / 96 ,WOODLANDS ,Gulf Coast ,USA ,6 ,1.00 ,26 ,19 ,+7 ,Advanced
12,"Sheffield, Lake Mawu",A17 / 42 ,UNAT / FENCERS ,Metro NYC ,USA ,5 ,0.83 ,25 ,12 ,+13 ,Advanced
13,"Buechel, Holly",A16 / 28 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,29 ,18 ,+11 ,Advanced
14,"Dumas, Courtney",A15 ,WCFA ,Illinois ,USA ,5 ,0.83 ,28 ,19 ,+9 ,Advanced
15,"Huellas-Bruskiewicz, Marie-Rose",C16 / 100 ,,,CAN ,5 ,0.83 ,26 ,17 ,+9 ,Advanced
16,"Fornaris, Susana",B16 / 86 ,EPEE MIAMI ,Gold Coast ,USA ,4 ,0.80 ,24 ,10 ,+14 ,Advanced
17,"Eno, Megan",A17 / 19 ,NWFC ,Oregon ,USA ,4 ,0.80 ,24 ,12 ,+12 ,Advanced
18,"Bassa, Francesca",A17 / 10 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.80 ,24 ,14 ,+10 ,Advanced
19,"Klára, Zsuzsanna",B17 ,W.F.A. ,Western WA ,HUN ,4 ,0.80 ,24 ,16 ,+8 ,Advanced
20,"Toby, Natalia",A17 / 61 ,UNAT / DFA ,New Jersey ,USA ,4 ,0.80 ,24 ,18 ,+6 ,Advanced
21,"Yamanaka, Mina",A16 ,NYAC ,Long Island ,USA ,4 ,0.80 ,23 ,17 ,+6 ,Advanced
22,"Vermeule, Emily",A17 / 24 ,OLYMPIA F. C. ,New England ,USA ,4 ,0.80 ,20 ,14 ,+6 ,Advanced
23,"Henderson, Danielle",A15 / 87 ,NYAC / NJIT ,New Jersey ,USA ,4 ,0.80 ,19 ,13 ,+6 ,Advanced
24,"Park, Yoohyun",B17 ,NWFC ,Oregon ,USA ,4 ,0.80 ,20 ,15 ,+5 ,Advanced
25,"Vierheller, Giana",A17 / 11 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,28 ,15 ,+13 ,Advanced
26,"Washington, Isis",A16 / 12 ,UNAT / TOP F.C. ,Metro NYC ,USA ,4 ,0.67 ,28 ,17 ,+11 ,Advanced
27,"Stewart, Tatijana",A17 / 31 ,SF / PRNCTONU. ,Utah-S.Idaho ,USA ,4 ,0.67 ,25 ,15 ,+10 ,Advanced
28,"Candreva, Greta",A17 / 13 ,NYAC / OLYMPIA F. C. ,West-Rock ,USA ,4 ,0.67 ,24 ,14 ,+10 ,Advanced
29,"Pirkowski, Amanda",A16 / 66 ,STOCCATAFAC ,Central FL ,USA ,4 ,0.67 ,28 ,19 ,+9 ,Advanced
30,"Gisolfi-McCready, Kaija",A17 / 30 ,MARX FENCING ,New England ,USA ,4 ,0.67 ,28 ,22 ,+6 ,Advanced
31,"Ma, Joy",A17 / 40 ,NORTHSFC ,Long Island ,USA ,4 ,0.67 ,26 ,20 ,+6 ,Advanced
32,"Grady, Miriam",A17 / 23 ,NORCOLO ,Colorado ,USA ,4 ,0.67 ,23 ,17 ,+6 ,Advanced
33,"Scala, Emma",A17 / 95 ,GOLD GATE ,Northern CA ,USA ,4 ,0.67 ,25 ,20 ,+5 ,Advanced
34,"Beddingfield, Claire",A17 / 43 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,21 ,16 ,+5 ,Advanced
35,"Sze, Ka Yan (Kay)",B15 / 71 ,,,CAN ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
36,"Thow, Jessica",A17 / 103 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,26 ,23 ,+3 ,Advanced
37,"Rausch, Ariana",A17 / 41 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,20 ,17 ,+3 ,Advanced
38,"Mo, Victoria",A15 / 64 ,NYAC ,Orange Coast ,USA ,4 ,0.67 ,26 ,24 ,+2 ,Advanced
39,"Nixon, Caroline (Karolina)",A17 / 26 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,24 ,22 ,+2 ,Advanced
40,"Sirico, Amanda",A17 / 5 ,DCFC ,Capitol ,USA ,3 ,0.60 ,21 ,12 ,+9 ,Advanced
41,"Chimahusky, Rebecca",A17 / 21 ,DCFC ,Capitol ,USA ,3 ,0.60 ,19 ,12 ,+7 ,Advanced
42T,"Bates, Cassandra",A16 / 35 ,MARX FENCING ,New England ,USA ,3 ,0.60 ,21 ,16 ,+5 ,Advanced
42T,"Liang, Rui ( Jessica )",B17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,3 ,0.60 ,21 ,16 ,+5 ,Advanced
44,"Lee, Hanna",A17 / 17 ,BB-FC / LAIFC ,Nevada ,USA ,3 ,0.60 ,22 ,18 ,+4 ,Advanced
45,"Gregory, Elizabeth",C17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,3 ,0.60 ,20 ,16 ,+4 ,Advanced
46,"lee, jiyoung",U ,LAIFC ,Southern CA ,KOR ,3 ,0.60 ,20 ,17 ,+3 ,Advanced
47,"Krick, Olivia",B17 ,OLYMPIANFC ,South TX ,USA ,3 ,0.60 ,20 ,18 ,+2 ,Advanced
48,"Aldadah, Huda",A16 / 46 ,PEORIA ,Illinois ,USA ,3 ,0.60 ,19 ,17 ,+2 ,Advanced
49,"Asher, Valerie",B17 ,DCFC ,Capitol ,USA ,3 ,0.60 ,19 ,19 ,0 ,Advanced
50,"Jeong, Eunyoung",U ,LAIFC ,Southern CA ,KOR ,3 ,0.60 ,18 ,18 ,0 ,Advanced
51,"Brill, Sophie",B17 ,LAIFC ,Southern CA ,USA ,3 ,0.60 ,20 ,22 ,-2 ,Advanced
52,"Tanibajeva, Rachel",A17 / 20 ,UNAT / FENCERS ,Metro NYC ,USA ,3 ,0.60 ,17 ,21 ,-4 ,Advanced
53,"Morgan, Elizabeth",C14 ,,Colorado ,USA ,3 ,0.50 ,27 ,22 ,+5 ,Advanced
54,"Plenty, Kenyata (Kenya)",A17 / 65 ,NYAC / COLUMBF ,Metro NYC ,USA ,3 ,0.50 ,23 ,23 ,0 ,Advanced
55,"Khamis, Yasmine",B17 ,NTFA ,North TX ,USA ,3 ,0.50 ,21 ,23 ,-2 ,Advanced
56T,"Troupe, Amina",C17 ,LILOV FENCING ,New Jersey ,USA ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
56T,"Bulavko, Sonia",A16 ,AFM ,Central CA ,USA ,3 ,0.50 ,20 ,22 ,-2 ,Advanced
58,"Landwehr, Helen",A14 / 33 ,USAFA / FRFC ,Colorado ,USA ,3 ,0.50 ,22 ,25 ,-3 ,Advanced
59,"Tapia, Sandy",A17 ,CHARL. F.A. ,N. Carolina ,USA ,3 ,0.50 ,21 ,24 ,-3 ,Advanced
60,"Lanzman, Anna",B17 / 60 ,NYFA ,Metro NYC ,USA ,3 ,0.50 ,18 ,22 ,-4 ,Advanced
61,"Zozulya, Christina",B17 ,,,CAN ,2 ,0.40 ,20 ,18 ,+2 ,Advanced
62,"Cebula, Anne",A17 / 16 ,FENCERS ,Metro NYC ,USA ,2 ,0.40 ,19 ,19 ,0 ,Advanced
63,"Copelan, Maria",B17 ,NWFC ,Oregon ,USA ,2 ,0.40 ,19 ,20 ,-1 ,Advanced
64,"Moreira-Brown, Caira",A14 ,UNAT / OSU VARSITY FENCING TEAM ,Metro NYC ,JAM ,2 ,0.40 ,18 ,20 ,-2 ,Advanced
65,"Haskel, Darby",C17 ,DFC ,Colorado ,USA ,2 ,0.40 ,16 ,19 ,-3 ,Advanced
66,"Adams Kim, Madeline",A16 / 48 ,FAP ,Philadelphia ,USA ,2 ,0.40 ,19 ,23 ,-4 ,Advanced
67,"Bindas, Blodwen",B17 / 68 ,DFA / ATLANTIC F.A. ,New Jersey ,USA ,2 ,0.40 ,17 ,21 ,-4 ,Advanced
68,"Hoppe Montanaro, Malinka",A17 / 101 ,,,CAN ,2 ,0.40 ,18 ,23 ,-5 ,Advanced
69,"Gill, Kaitlyn",B17 ,FAW ,New Jersey ,USA ,2 ,0.40 ,14 ,19 ,-5 ,Advanced
70,"Daniel, Chloe",A17 / 15 ,FORTUNE ,Southern CA ,USA ,2 ,0.33 ,24 ,23 ,+1 ,Advanced
71,"Beddingfield, Catherine",A16 / 57 ,LAIFC ,Southern CA ,USA ,2 ,0.33 ,23 ,24 ,-1 ,Advanced
72,"Gao, Emily",A17 / 56 ,NORTHSFC ,Long Island ,USA ,2 ,0.33 ,21 ,23 ,-2 ,Advanced
73,"Paul, Anna",B16 ,IFC ,Illinois ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
74,"Mattern, Tasha",B17 ,NWFC / LAIFC ,Oregon ,USA ,2 ,0.33 ,18 ,23 ,-5 ,Advanced
75,"Douglas, Elizabeth",B17 ,,,CAN ,2 ,0.33 ,21 ,27 ,-6 ,Advanced
76,"White, Anita",B15 ,SFFC ,Gold Coast ,USA ,2 ,0.33 ,17 ,23 ,-6 ,Advanced
77,"Leighton, Eleanor",A17 ,E.D.L. ,Indiana ,USA ,2 ,0.33 ,19 ,26 ,-7 ,Advanced
78,"Pyo, Yunice",B16 ,DCFC ,Capitol ,USA ,2 ,0.33 ,20 ,28 ,-8 ,Advanced
79,"Reckling, Kathleen",C17 ,FENCERS ,West-Rock ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
80,"Hedvat, Alexis",A17 ,FENCERS ,Metro NYC ,USA ,2 ,0.33 ,19 ,28 ,-9 ,Advanced
81T,"Kang, Dahyun",C17 ,PENTA ,Virginia ,USA ,2 ,0.33 ,16 ,27 ,-11 ,Advanced
81T,"Vera, Kalista",B16 ,MYFENCINGCENTER ,North Coast ,USA ,2 ,0.33 ,16 ,27 ,-11 ,Advanced
83,"Yang, Grace",B17 ,LAIFC ,Southern CA ,USA ,1 ,0.20 ,17 ,20 ,-3 ,Advanced
84,"Floyd, Julee",C17 / 77 ,SAS ,Western WA ,USA ,1 ,0.20 ,16 ,20 ,-4 ,Advanced
85,"Yeu, Irene",A17 / 83 ,SWORDS ,Southern CA ,USA ,1 ,0.20 ,17 ,24 ,-7 ,Advanced
86,"Igoe, Nirali",C17 ,PENTA / DCFC ,Capitol ,USA ,1 ,0.20 ,16 ,23 ,-7 ,Advanced
87,"Buckingham, Emma",C17 ,NCFDP / MID-SOUTH ,N. Carolina ,USA ,1 ,0.20 ,15 ,22 ,-7 ,Advanced
88,"O'Reilly, Meghan",A16 / 77 ,OLYMPIA F. C. / TWORAVENS ,New England ,USA ,1 ,0.20 ,15 ,23 ,-8 ,Advanced
89,"Harkness, Anya",A16 / 34 ,UNAT / AFM ,Central CA ,USA ,1 ,0.20 ,15 ,24 ,-9 ,Advanced
90,"Rath, Lauren",B16 ,EBFG ,Northern CA ,USA ,1 ,0.20 ,14 ,24 ,-10 ,Advanced
91,"Shepard, Jazzy",A17 ,ORION ,Oregon ,USA ,1 ,0.20 ,13 ,24 ,-11 ,Advanced
92,"Lawson, Marie",A16 ,DCFC / BALTI. F.C. ,Capitol ,USA ,1 ,0.20 ,11 ,24 ,-13 ,Advanced
93,"Schmidt, Lori",B17 ,OLYMPIA F. C. ,New England ,USA ,1 ,0.20 ,9 ,22 ,-13 ,Advanced
94,"Martus, Cosima",A17 / 76 ,NORCOLO ,Colorado ,USA ,1 ,0.20 ,7 ,20 ,-13 ,Advanced
95,"Barna, Isabella",B15 ,NWFC ,Oregon ,USA ,1 ,0.17 ,23 ,26 ,-3 ,Advanced
96,"Lurye, Sarah",A17 / 102 ,WCFA ,Illinois ,USA ,1 ,0.17 ,20 ,25 ,-5 ,Advanced
97,"Papadopoulos, Maria",A17 ,UNAT / DUKEUNIVFC ,Virginia ,USA ,1 ,0.17 ,18 ,24 ,-6 ,Advanced
98,"Belaoussoff, Kira",C17 ,,,CAN ,1 ,0.17 ,19 ,27 ,-8 ,Advanced
99,"Gupta, Ananya",B15 ,WCFA ,Illinois ,USA ,1 ,0.17 ,18 ,26 ,-8 ,Advanced
100,"Allen, Susan",C17 ,NOVA FENCING ,Virginia ,USA ,1 ,0.17 ,18 ,28 ,-10 ,Advanced
101,"Ross, Naomi",A17 ,CFSMPC ,Colorado ,USA ,1 ,0.17 ,17 ,27 ,-10 ,Advanced
102,"Kimura, Kimberley",B17 ,LAIFC ,Southern CA ,USA ,1 ,0.17 ,18 ,29 ,-11 ,Advanced
103,"Cano-Diosa, Rosa",B17 ,SDFC ,San Diego ,ESP ,1 ,0.17 ,15 ,27 ,-12 ,Advanced
