1,"NIXON, Catherine (Kasia)",PRNCTONU. / LAIFC ,Southern CA ,USA ,A17 ,A18 
2,"VIE, Natalie",NYAC / LAIFC ,Arizona ,USA ,A17 ,A18 
3T,"BASSA, Francesca",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,A18 
3T,"HOLMES, Katharine",NYAC / PRNCTONU. ,Capitol ,USA ,A17 ,A18 
5,"VIERHELLER, Giana",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,A18 
6,"CANDREVA, Greta",NYAC / OLYMPIA F. C. ,West-Rock ,USA ,A17 ,A18 
7,"KALONJI, Anastasia",PSU ,Central PA ,FRA ,A17 ,A18 
8,"KOPECKY, Lydia",NYAC ,Metro NYC ,USA ,A15 ,A18 
9,"WOLF, Stephanie",PENN / MARX FENCING ,New England ,USA ,A14 ,
10,"STEWART, Tatijana",SF / PRNCTONU. ,Utah-S.Idaho ,USA ,A17 ,
11,"VON DADELSZEN, Emma",UNAT / OSU VARSITY FENCING TEAM ,Columbus OH ,CAN ,A17 ,
12,"KHROL, Jaclyn",NYFA ,Metro NYC ,USA ,A17 ,
13,"MANGANO, Ariana",NYAC / ATLANTIC F.A. ,New Jersey ,USA ,A17 ,
14,"IBRAHIM, Safa",PETERWE / TU OWLS ,Metro NYC ,USA ,A15 ,
15,"SHEFFIELD, Lake Mawu",PETERWE / FENCERS ,Metro NYC ,USA ,A17 ,
16,"DANIEL, Chloe",FORTUNE ,Southern CA ,USA ,A17 ,
17,"KUKADIA, Sancchi",FENCERS ,Long Island ,USA ,A17 ,
18,"BEDDINGFIELD, Claire",LAIFC ,Southern CA ,USA ,A17 ,
19,"CONSTANTINO, Lola",MEDEO F.C. ,New Jersey ,USA ,A17 ,
20,"GRADY, Miriam",NORCOLO ,Colorado ,USA ,A17 ,
21,"JEONG, Eunyoung",LAIFC ,Southern CA ,,B17 ,
22,"DUNLAP-SMITH, Azaline",,Minnesota ,USA ,A17 ,
23,"KAIN, Isabel",OLYMPIA F. C. ,New England ,USA ,A17 ,
24,"GUZZI VINCENTI, Margherita",ATABA F.C. ,Wisconsin ,USA ,A17 ,
25,"LEE, Hanna",BB-FC / LAIFC ,Nevada ,USA ,A17 ,
26,"DUMAS, Courtney",WCFA ,Illinois ,USA ,A15 ,
27,"WASHINGTON, Isis",PETERWE / TOP F.C. ,Metro NYC ,USA ,A16 ,
28,"LEE, jiyoung",LAIFC ,Southern CA ,KOR ,B17 ,
29,"LEIGHTON, Eleanor",E.D.L. ,Indiana ,USA ,A17 ,
30,"LURYE, Sarah",WCFA ,Illinois ,USA ,A17 ,
31,"ENO, Megan",NWFC ,Oregon ,USA ,A17 ,
32,"BINDAS, Blodwen",DURKAN / ATLANTIC F.A. ,New Jersey ,USA ,B17 ,
33,"VANBENTHUYSEN, Barbara",PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
34,"CEBULA, Anne",FENCERS ,Metro NYC ,USA ,A17 ,
35,"SNIDER, Margot",,Iowa ,USA ,A17 ,
36,"HUSISIAN, Hadley",FSA ,Virginia ,USA ,A17 ,
37,"QUINLAN, Nicole",WLPTFC ,Northeast PA ,USA ,B17 ,
38,"ADAMS KIM, Madeline",FAP ,Philadelphia ,USA ,A16 ,
39,"SIRICO, Amanda",DCFC ,Capitol ,USA ,A17 ,
40,"PROCTOR, Sara",NORCOLO ,Colorado ,USA ,A17 ,
41,"YUKELSON, Taly",U.C.S.D. ,Central CA ,USA ,A17 ,
42,"HAMILTON, Pauline",NOWESTU / RMFA ,Colorado ,USA ,A17 ,
43,"CHOY, LeeAnn",MORRIS F.C. / COLUMBF ,New Jersey ,USA ,A17 ,
44,"PAUL, Anna",IFC ,Illinois ,USA ,B16 ,
45,"HENDERSON, Danielle",NYAC / NJIT ,New Jersey ,USA ,A15 ,
46,"LUKE, Marielle",TU OWLS / W.F.A. ,Alaska ,USA ,B17 ,
47,"MO, Victoria",NYAC ,Orange Coast ,USA ,A15 ,
48,"VERRET, Alexanne",OSU VARSITY FENCING TEAM ,Columbus OH ,CAN ,A17 ,
49,"LIANG, Rui ( Jessica )",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
50,"LOMBARD, Ella",NOWESTU / RIVERSIDE ,Illinois ,USA ,B17 ,
51,"LEONARD, Ariane",,,CAN ,A17 ,
52,"BEDDINGFIELD, Catherine",LAIFC ,Southern CA ,USA ,A16 ,
53,"WALLACE, Shawn",HARVUN / MARX FENCING ,West-Rock ,USA ,A14 ,
54,"YAMANAKA, Mina",NYAC ,Long Island ,USA ,A16 ,
55,"VERMEULE, Emily",OLYMPIA F. C. ,New England ,USA ,A17 ,
56,"ANGEN, Katie",NYAC / COLUMBF ,Metro NYC ,USA ,A15 ,
57,"LANZMAN, Anna",NYFA ,Metro NYC ,USA ,B17 ,
58,"ZHENG, Evelyn",,,CAN ,A16 ,
59,"PARK, Faith",PENTA ,Virginia ,USA ,B17 ,
60,"KIM, Natalie",WCFA ,Illinois ,USA ,B17 ,
61,"PFEIFFER, Rebecca",MARX FENCING ,New England ,USA ,B17 ,
62,"MEDINA, Elizabeth",,San Diego ,MEX ,B16 ,
63,"MA, Joy",NORTHSFC ,Long Island ,USA ,A17 ,
64,"KULKARNI, Diya",MEDEO F.C. ,New Jersey ,USA ,C17 ,
65,"GUO, ZI SHAN",,,CAN ,A17 ,
66,"LEUNG, Karina Kay Sze",,New Jersey ,HKG ,A17 ,
67,"BATES, Cassandra",MARX FENCING ,New England ,USA ,A17 ,
68,"TANIBAJEVA, Rachel",PETERWE / FENCERS ,Metro NYC ,USA ,A17 ,
69,"GAO, Cindy",,,CAN ,A17 ,
70,"TONCHEVA, Victoria",BB-FC ,Nevada ,USA ,A17 ,
71,"ZMURK, Emma",U.C.S.D. / GOLD GATE ,Northern CA ,USA ,A16 ,
72,"SIMMONS, Camille",TU OWLS / ALLIANCE F.A. ,Gulf Coast ,USA ,B14 ,
73,"DIB, Vanessa",,,CAN ,B17 ,
74,"KOMAR, Sofia",MEDEO F.C. ,New Jersey ,USA ,A17 ,
75T,"RAUSCH, Ariana",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
75T,"LORD, Sarah-Eve",,,CAN ,B17 ,
77,"CHIMAHUSKY, Rebecca",DCFC ,Capitol ,USA ,A17 ,
78,"JANG, seoyeon",LAIFC ,Southern CA ,,C17 ,
79,"ASHER, Valerie",DCFC ,Capitol ,USA ,B17 ,
80,"WOLSTENHOLME-BRITT, Samantha",APEX ,N. Carolina ,USA ,B17 ,
81,"LANDWEHR, Helen",USAFA / FRFC ,Colorado ,USA ,A14 ,
82,"SCALA, Emma",GOLD GATE ,Northern CA ,USA ,A17 ,
83,"PIRKOWSKI, Amanda",STOCCATAFAC ,Central FL ,USA ,A16 ,
84,"ZOZULYA, Christina",,,CAN ,B17 ,
85,"O'REILLY, Meghan",OLYMPIA F. C. / TWORAVENS ,New England ,USA ,A16 ,
86,"LIN, Jessica",MEDEO F.C. ,New Jersey ,USA ,A17 ,
87,"WALLACE, Katherine",FENCERS / NOTREDAME ,Indiana ,USA ,C17 ,
88,"MARTUS, Cosima",,Colorado ,USA ,A17 ,
89,"LIU, Linda",,,CAN ,A17 ,
90,"RIGAZZI, Ottavia",BAY STATE ,,,B17 ,
91,"DORVAL, Anne-Marie",,,CAN ,B17 ,
92,"TONG, Amy",COLUMBF ,New Jersey ,USA ,A15 ,
93,"BUECHEL, Holly",NYAC ,Metro NYC ,USA ,A17 ,
94,"KHAMIS, Yasmine",NTFA ,North TX ,USA ,B17 ,
95,"THOW, Jessica",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
96,"GILL, Kaitlyn",FAW ,New Jersey ,USA ,B17 ,
97,"NIXON, Caroline (Karolina)",LAIFC ,Southern CA ,USA ,A17 ,
98,"JOYCE, Michaela",LIFC ,Virginia ,USA ,B17 ,
99,"NAVARRO, Ava",FENCERS / TIGERZ ,Metro NYC ,USA ,B17 ,
100,"WANG, Yumin",PSU / PREMIERFC ,New Jersey ,TPE ,A14 ,
101,"HARRIS, Emma",BAY STATE / PENN ,New England ,USA ,A16 ,
102,"HUELLAS-BRUSKIEWICZ, Marie-Rose",,,CAN ,C16 ,
103,"BOUDREAU, Justine",,,CAN ,A17 ,
104,"LIN, Vera",CORNELF ,Long Island ,USA ,A15 ,
105,"VAN RIPER, Katharine",NOWESTU / DUNWOODY ,Illinois ,USA ,B16 ,
106,"GAO, Emily",NORTHSFC ,Long Island ,USA ,A17 ,
107,"GANSER, Yuliya",MEDEO F.C. ,New Jersey ,USA ,A16 ,
108,"BEIHOLD, Emily",U.C.S.D. ,San Diego ,USA ,B16 ,
109,"MICEK, Alexandria",TU OWLS / ALLIANCE F.A. ,Gulf Coast ,USA ,B16 ,
110T,"SHEPARD, Jazzy",ORION ,Oregon ,USA ,A17 ,
110T,"CRUZ BERNAL, Jocelyn Nahomi",,,MEX ,B17 ,
112,"MOREIRA-BROWN, Caira",PETERWE / OSU VARSITY FENCING TEAM ,Metro NYC ,JAM ,A14 ,
113,"KOZAK, Maeve",WOODLANDS ,Gulf Coast ,USA ,B15 ,
114,"ALDADAH, Huda",PEORIA ,Illinois ,USA ,A16 ,
115,"PLANTE, Marilyne",,,CAN ,B17 ,
116,"BARRY, Julia",NOTREDAME / NORCOLO ,Colorado ,CAN ,A15 ,
117,"PAPADOPOULOS, Maria",UNAT / DUKEUNIVFC ,Virginia ,USA ,A17 ,
118,"SHAMSIAN, Shaya",LAIFC ,Southern CA ,USA ,B17 ,
119,"SHOATES, Jacqueline",FENCERS / PETERWE ,Metro NYC ,USA ,C17 ,
