1,"Van Brummen, Anna",ALLIANCEFA / TIGERZFA ,Gulf Coast ,USA ,A16 ,A18 
2,"Nixon, Catherine (Kasia)",PRINCETONU / LAIFC ,Southern CA ,USA ,A18 ,
3T,"Lee, Hanna",BATTLEBORNFC / LAIFC ,Nevada ,USA ,A17 ,A18 
3T,"Washington, Isis",PWESTBROOK / TOPFC ,Metro NYC ,USA ,A18 ,
5,"VanBenthuysen, Barbara",PASTATEUNIV / ALLIANCEFA ,Gulf Coast ,USA ,A17 ,A18 
6,"Bates, Cassandra",MARXFENCING ,New England ,USA ,A17 ,A18 
7,"Nixon, Caroline (Karolina)",LAIFC ,Southern CA ,USA ,A18 ,
8,"Guzzi Vincenti, Margherita",ATABAFC ,Wisconsin ,USA ,A18 ,
9,"Candreva, Greta",NYAC ,West-Rock ,USA ,A18 ,
10,"Komar, Sofia",MEDEOFC ,New Jersey ,USA ,A18 ,
11,"Mangano, Ariana",NYAC / ATLANTICFA ,New Jersey ,USA ,A18 ,
12,"Constantino, Lola",MEDEOFC ,New Jersey ,USA ,A17 ,
13,"Proctor, Sara",NCOFENCERS ,Colorado ,USA ,A18 ,
14,"Oxenreider, Tierna",ROYALARTSFA ,Columbus OH ,USA ,A18 ,
15,"Yamanaka, Mina",NYAC ,Long Island ,USA ,A18 ,
16,"Chimahusky, Rebecca",DCFENCERS ,Capitol ,USA ,A17 ,
17,"Vermeule, Emily",OLYMPIAFC ,New England ,USA ,A18 ,
18,"Bassa, Francesca",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
19,"Pfeiffer, Rebecca",MARXFENCING ,New England ,USA ,B17 ,
20,"Minnulina, Ella",AFM ,Central CA ,RUS ,A18 ,
21,"Plenty, Kenyata (Kenya)",NYAC / COLUMBIAU ,Metro NYC ,USA ,A17 ,
22,"Sirico, Amanda",DCFENCERS ,Capitol ,USA ,A18 ,
23,"Khrol, Jaclyn",NYFA ,Metro NYC ,USA ,A18 ,
24,"Kain, Isabel",OLYMPIAFC ,New England ,USA ,A17 ,
25,"Paul, Anna",ILLINOISFC ,Illinois ,USA ,B16 ,
26,"Buechel, Holly",NYAC ,Metro NYC ,USA ,A17 ,
27,"Daniel, Chloe",FORTUNE ,Southern CA ,USA ,A17 ,
28,"Adams Kim, Madeline",FAP ,Philadelphia ,USA ,A16 ,
29,"Kadyrova, Juliia",AFM ,Central CA ,RUS ,A18 ,
30,"Gao, Emily",NORTHSHOREFC ,Long Island ,USA ,A17 ,
31,"Pirkowski, Amanda",,Central FL ,USA ,A16 ,
32,"Liu, Linda",,,CAN ,A18 ,
33,"Cebula, Anne",FENCERSCLUB ,Metro NYC ,USA ,A17 ,
34,"Park, Faith",PENTAOLYFC ,Virginia ,USA ,B18 ,
35,"Chu, Audrey",AFM ,Central CA ,USA ,B17 ,
36,"Desamours, Sabine",FENCERSCLUB / PWESTBROOK ,Virginia ,USA ,C18 ,
37,"Sheffield, Lake Mawu",PWESTBROOK / FENCERSCLUB ,Metro NYC ,USA ,A18 ,
38,"Park, Yoohyun",NWFENCINGCTR ,Oregon ,USA ,B18 ,
39,"Zmurk, Emma",UCA-SANDIEGO / GOLDENGATEFC ,Northern CA ,USA ,A16 ,
40,"Wang, Yumin",PREMIERFA / PENNSTATEUFC ,New Jersey ,USA ,A17 ,
41,"Vierheller, Giana",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
42,"Barna, Isabella",NWFENCINGCTR ,Oregon ,USA ,B15 ,
43,"Dumas, Courtney",WNDYCTYCHICG ,Illinois ,USA ,A15 ,
44,"Dunlap-Smith, Azaline",,Minnesota ,USA ,A17 ,
45,"GUO, ZI SHAN",,,CAN ,A17 ,
46,"Bulavko, Sonia",AFM ,Central CA ,USA ,A18 ,
47,"Leighton, Eleanor",ESDULAC ,Indiana ,USA ,A17 ,
48,"Adragna, Olivia",NORTHSHOREFC ,Long Island ,USA ,B18 ,
49,"Kopecky, Lydia",NYAC ,Metro NYC ,USA ,A18 ,
50,"Watrall, Christina",FAW ,West-Rock ,USA ,C17 ,
51,"Barry, Julia",NOTREDAME / NCOFENCERS ,Colorado ,CAN ,A15 ,
52,"Luke, Marielle",TEMPLEUNIV / WFA ,Alaska ,USA ,B17 ,
53,"Phillips, Summer",WOODLANDSFA ,Gulf Coast ,USA ,A16 ,
54,"Ma, Joy",NORTHSHOREFC ,Long Island ,USA ,A18 ,
55,"Kukadia, Sancchi",FENCERSCLUB ,Long Island ,USA ,A17 ,
56,"Snider, Margot",,Iowa ,USA ,A17 ,
57,"Kim, Diane",TOPFC ,New Jersey ,USA ,C18 ,
58,"Beddingfield, Claire",LAIFC ,Southern CA ,USA ,A18 ,
59,"Landwehr, Helen",USAFA / FRONTRANGEFC ,Colorado ,USA ,A14 ,
60,"Rausch, Ariana",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
61,"Dolgonos, Melanie",NYFA ,Metro NYC ,USA ,B17 ,
62,"Yefremenko, Dariya (Dasha)",MEDEOFC / NOTREDAME ,New Jersey ,USA ,A18 ,
63,"Zozulya, Christina",,,CAN ,B17 ,
64,"Grady, Miriam",NCOFENCERS ,Colorado ,USA ,A18 ,
65,"O'Reilly, Meghan",TWORAVENSFS ,Northern OH ,USA ,A16 ,
66,"Igoe, Nirali",PENTAOLYFC / DCFENCERS ,Capitol ,USA ,B18 ,
67,"Beihold, Emily",UCA-SANDIEGO ,San Diego ,USA ,B16 ,
68,"Eno, Megan",NWFENCINGCTR ,Oregon ,USA ,A18 ,
69,"Gregory, Elizabeth",ALLIANCEFA ,Gulf Coast ,USA ,B18 ,
70,"Khamis, Yasmine",NORTHTXFA ,North TX ,USA ,B18 ,
71,"Shamsian, Shaya",LAIFC ,Southern CA ,USA ,B17 ,
72,"Kang, Dahyun",,Virginia ,USA ,C18 ,
73,"Yeu, Irene",SWORDSFS ,Southern CA ,USA ,A18 ,
74,"Yang, Grace",LAIFC ,National ,USA ,B17 ,
75,"Beddingfield, Catherine",LAIFC ,Southern CA ,USA ,A18 ,
76,"Choi, Lyla",FAW ,Metro NYC ,USA ,A18 ,
77,"Kulkarni, Diya",MEDEOFC ,New Jersey ,USA ,B17 ,
78,"Lim, Victoria Ann Xiu Yan",,,SGP ,A17 ,
79,"Lurye, Sarah",WNDYCTYCHICG ,Illinois ,USA ,A17 ,
80,"Canales, Daniela",NORTHTXFA ,North TX ,USA ,B17 ,
81,"Scala, Emma",GOLDENGATEFC ,Northern CA ,USA ,A18 ,
82,"Lin, Jessica",MEDEOFC ,New Jersey ,USA ,A18 ,
83,"Isert, Sarah",MARYLANDFC ,Maryland ,USA ,A16 ,
84,"Leung, Karina Kay Sze",,New Jersey ,HKG ,A17 ,
85,"Liang, Rui ( Jessica )",ALLIANCEFA ,Gulf Coast ,USA ,A18 ,
86,"Khorosheva, Anastasiia",AFM ,Central CA ,RUS ,A18 ,
87,"Principe, Emily",,,AUS ,A18 ,
88,"Joyce, Michaela",LOUDOUNINTL ,Virginia ,USA ,B18 ,
89,"Bindas, Blodwen",DURKANFA / ATLANTICFA ,New Jersey ,USA ,B17 ,
90,"Eltawil, Yasmeen",,,EGY ,B14 ,
91T,"Lawson, Marie",DCFENCERS / BFC ,Capitol ,USA ,A16 ,
91T,"Kim, Natalie",WNDYCTYCHICG ,Illinois ,USA ,B17 ,
93T,"Biggs, Amelia",RIFAC ,New England ,USA ,C18 ,
93T,"Beittel, Chloe",EBFG ,Northern CA ,USA ,A17 ,
95,"Harkness, Anya",NWUNIVNCAA / AFM ,Central CA ,USA ,A16 ,
96,"Husisian, Hadley",FSA INC ,Virginia ,USA ,A17 ,
97,"Stroppel, Luna",IACITYFC ,Iowa ,USA ,B16 ,
98,"Morgan, Elizabeth",BCNCAA ,Colorado ,USA ,C14 ,
99,"Lanzman, Anna",NYFA ,Metro NYC ,USA ,B17 ,
100,"Mierczuk, Tessa",,,CAN ,A18 ,
101,"Paturu, Meghana",MEDEOFC ,New Jersey ,USA ,B18 ,
