1,"WASHINGTON, Isis",A16 / 16 ,UNAT / TOP F.C. ,Metro NYC ,USA ,6 
2,"SIRICO, Amanda",A17 / 5 ,DCFC ,Capitol ,USA ,6 
3,"BARRY, Julia",A15 / 81 ,NOTREDAME / NORCOLO ,Colorado ,CAN ,6 
4,"NIXON, Catherine (Kasia)",A17 / 6 ,UNAT / LAIFC ,Southern CA ,USA ,6 
5,"HURLEY, Courtney",A17 / 2 ,NYAC ,South TX ,USA ,6 
6,"KHROL, Jaclyn",A17 / 87 ,NYFA ,Metro NYC ,USA ,6 
7,"CANDREVA, Greta",A17 / 21 ,NYAC / OLYMPIA F. C. ,West-Rock ,USA ,6 
8,"HOLMES, Katharine",A17 / 3 ,NYAC ,Capitol ,USA ,5 
9,"HURLEY, Kelley",A17 / 1 ,NYAC ,South TX ,USA ,5 
10T,"YEU, Irene",A17 / 90 ,SWORDS ,Southern CA ,USA ,5 
10T,"KOPECKY, Lydia",A15 / 56 ,NYAC ,Metro NYC ,USA ,5 
12,"VIERHELLER, Giana",A17 / 11 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 
13T,"FORNARIS, Susana",B16 ,EPEE MIAMI ,Gold Coast ,USA ,5 
13T,"VERMEULE, Emily",A17 / 61 ,OLYMPIA F. C. ,New England ,USA ,5 
15T,"ADAMS KIM, Madeline",A16 / 51 ,FAP ,Philadelphia ,USA ,5 
15T,"HENDERSON, Danielle",A15 ,NYAC / NJIT ,New Jersey ,USA ,5 
17,"MANGANO, Ariana",A17 / 8 ,NYAC / ATLANTIC F.A. ,New Jersey ,USA ,5 
18,"YUN, Audrey",A14 ,COLUMBF / LAIFC ,Southern CA ,USA ,5 
19,"BEDDINGFIELD, Claire",A17 / 40 ,LAIFC ,Southern CA ,USA ,5 
20T,"BATES, Cassandra",A16 / 31 ,MARX FENCING ,New England ,USA ,5 
20T,"CHIMAHUSKY, Rebecca",A17 / 21 ,DCFC ,Capitol ,USA ,5 
20T,"KUKADIA, Sancchi",A17 / 14 ,FENCERS / NORTHSFC ,Long Island ,USA ,5 
23,"BEDDINGFIELD, Catherine",A16 / 58 ,LAIFC ,Southern CA ,USA ,5 
24,"CONSTANTINO, Lola",A17 ,MEDEO F.C. ,New Jersey ,USA ,5 
25,"NIXON, Caroline (Karolina)",A17 / 26 ,LAIFC ,Southern CA ,USA ,5 
26T,"GAO, Emily",A17 / 71 ,NORTHSFC ,Long Island ,USA ,4 
26T,"GUZZI VINCENTI, Margherita",A17 / 10 ,ATABA F.C. ,Wisconsin ,USA ,4 
28,"SUMMERS, Georgina",C16 ,,N. Carolina ,GBR ,4 
