,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
0,1,Auckland,ASB Classic,2012-12-30,International,Outdoor,Hard,1st Round,3,Parmentier P.,Mchale C.,65.0,33.0,950.0,1451.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,2.5,1.5,2.5,1.5,2.38,1.53,2.67,1.53,2.5,1.5,2.92,1.57,2.5,1.5
1,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Vesnina E.,Bouchard E.,68.0,147.0,902.0,469.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,1.6,2.25,1.53,2.38,1.54,2.63,1.57,2.25,1.6,2.68,1.53,2.44
2,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Daniilidou E.,Vandeweghe C.,100.0,97.0,683.0,688.0,1.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,1.83,1.83,1.85,1.9,1.73,2.0,1.9,1.99,1.83,1.83,1.95,2.18,1.83,1.91
3,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Bertens K.,Kuznetsova S.,63.0,71.0,956.0,882.0,6.0,7.0,6.0,2.0,7.0,5.0,2.0,1.0,Completed,2.5,1.5,2.6,1.45,2.62,1.44,2.85,1.47,2.63,1.44,3.1,1.51,2.64,1.46
4,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Flipkens K.,Voskoboeva G.,54.0,82.0,1096.0,776.0,6.0,1.0,6.0,7.0,7.0,5.0,2.0,1.0,Completed,1.4,2.75,1.4,2.8,1.44,2.62,1.53,2.67,1.4,2.75,1.53,2.9,1.44,2.71
5,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Larsson J.,Doi M.,73.0,93.0,860.0,711.0,4.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,1.57,2.25,1.65,2.15,1.62,2.2,1.71,2.24,1.67,2.1,1.72,2.28,1.66,2.16
6,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Halep S.,Rus A.,47.0,72.0,1220.0,871.0,4.0,6.0,6.0,3.0,6.0,1.0,2.0,1.0,Completed,1.36,3.0,1.4,2.8,1.4,2.75,1.4,3.18,1.4,2.75,1.41,3.18,1.37,2.92
7,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Wickmayer Y.,Rybarikova M.,23.0,62.0,1680.0,1002.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.53,2.37,1.6,2.25,1.5,2.5,1.67,2.33,1.53,2.38,1.67,2.5,1.55,2.38
8,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Hampton J.,Zheng J.,70.0,26.0,884.0,1585.0,7.0,5.0,6.0,1.0,,,2.0,0.0,Completed,1.83,1.83,2.0,1.75,2.0,1.73,2.05,1.85,1.91,1.8,2.11,1.91,1.98,1.8
9,1,Auckland,ASB Classic,2012-12-31,International,Outdoor,Hard,1st Round,3,Watson H.,Cirstea S.,49.0,27.0,1161.0,1565.0,6.0,3.0,,,,,1.0,0.0,Retired,1.61,2.2,1.65,2.15,1.62,2.2,1.71,2.24,1.67,2.1,1.73,2.3,1.67,2.14
