,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
0,1,Auckland,ASB Classic,2017-01-01,International,Outdoor,Hard,1st Round,3,Safarova L.,Allertova D.,62.0,91.0,940.0,718.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.6,1.4,2.75,1.54,2.63,1.54,2.78,1.48,2.62
1,1,Auckland,ASB Classic,2017-01-01,International,Outdoor,Hard,1st Round,3,Nara K.,Lottner A.,76.0,180.0,797.0,313.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.3,3.4,1.3,2.9,1.33,3.25,1.33,3.6,1.36,3.6,1.32,3.31
2,1,Auckland,ASB Classic,2017-01-02,International,Outdoor,Hard,1st Round,3,Strycova B.,Stefkova B.,20.0,171.0,2170.0,332.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.2,4.33,1.18,3.9,1.22,4.33,1.23,4.65,1.25,4.8,1.21,4.28
3,1,Auckland,ASB Classic,2017-01-02,International,Outdoor,Hard,1st Round,3,Williams S.,Parmentier P.,2.0,69.0,7050.0,886.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.1,7.0,1.06,6.0,1.08,8.5,1.08,9.69,1.1,9.69,1.08,7.54
4,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Lucic-Baroni M.,Barthel M.,79.0,157.0,781.0,354.0,6.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,2.37,1.53,2.25,1.5,2.25,1.62,2.48,1.6,2.5,1.62,2.36,1.57
5,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Osaka N.,Beck A.,48.0,51.0,1161.0,1125.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.5,1.48,2.5,1.52,2.69,1.52,2.8,1.46,2.64
6,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Davis L.,Bertens K.,61.0,22.0,960.0,1977.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.5,2.35,1.45,2.38,1.53,2.54,1.57,2.55,1.59,2.44,1.53
7,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Ostapenko J.,Erakovic M.,44.0,105.0,1225.0,611.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.66,2.1,1.58,2.1,1.73,2.1,1.74,2.2,1.75,2.2,1.7,2.11
8,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Brengle M.,Loeb J.,72.0,188.0,870.0,287.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.66,2.1,1.68,1.95,1.8,2.0,1.8,2.11,1.8,2.16,1.73,2.06
9,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Wickmayer Y.,Larsson J.,58.0,50.0,984.0,1150.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.72,2.0,1.68,1.95,1.8,2.0,1.83,2.07,1.86,2.1,1.78,2.0
10,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Gibbs N.,19.0,88.0,2185.0,742.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.16,5.0,1.14,4.5,1.17,4.5,1.19,5.36,1.19,5.5,1.16,4.97
11,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Lepchenko V.,Rodionova Ar.,89.0,187.0,723.0,290.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.18,4.5,,,1.22,4.33,1.22,4.78,1.22,5.0,1.19,4.7
12,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Konjuh A.,Flipkens K.,47.0,64.0,1189.0,923.0,6.0,4.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.53,2.37,1.5,2.25,1.62,2.25,1.61,2.44,1.62,2.54,1.57,2.37
13,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Williams V.,Lewis J.,17.0,1099.0,2240.0,6.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.02,19.0,1.01,9.0,1.02,17.0,1.04,14.8,1.04,27.0,1.02,14.54
14,1,Auckland,ASB Classic,2017-01-03,International,Outdoor,Hard,1st Round,3,Broady N.,Kovinic D.,90.0,70.0,720.0,885.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,2.0,1.72,1.95,1.68,2.2,1.67,2.13,1.79,2.2,1.86,2.04,1.75
15,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,1st Round,3,Goerges J.,Pavlyuchenkova A.,53.0,27.0,1110.0,1620.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.25,1.57,2.35,1.48,2.2,1.62,2.3,1.68,2.35,1.68,2.28,1.6
16,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Strycova B.,Safarova L.,20.0,62.0,2170.0,940.0,7.0,5.0,3.0,6.0,7.0,6.0,2.0,1.0,Completed,2.1,1.66,1.85,1.75,2.0,1.8,2.06,1.85,2.13,1.91,2.01,1.78
17,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Davis L.,Nara K.,61.0,76.0,960.0,797.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.61,2.2,1.55,2.1,1.67,2.2,1.62,2.45,1.71,2.45,1.6,2.28
18,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Ostapenko J.,Lucic-Baroni M.,44.0,79.0,1225.0,781.0,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.66,2.1,1.62,2.05,1.67,2.2,1.72,2.25,1.72,2.35,1.64,2.22
19,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Brengle M.,Williams S.,72.0,2.0,870.0,7050.0,6.0,4.0,6.0,7.0,6.0,4.0,2.0,1.0,Completed,13.0,1.04,7.0,1.04,13.0,1.03,13.89,1.05,14.15,1.05,11.08,1.04
20,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Goerges J.,Broady N.,53.0,90.0,1110.0,720.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.22,4.0,,,1.33,3.4,1.3,3.91,1.33,4.0,1.27,3.67
21,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Konjuh A.,Wickmayer Y.,47.0,58.0,1189.0,984.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.25,,,1.73,2.1,1.88,2.02,1.93,2.25,1.76,2.15
22,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Osaka N.,Williams V.,48.0,17.0,1161.0,2240.0,,,,,,,,,Walkover,2.0,1.72,,,1.91,1.91,1.99,1.92,2.1,1.93,1.96,1.83
23,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Lepchenko V.,19.0,89.0,2185.0,723.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.14,5.5,1.12,4.8,1.17,5.0,1.17,5.98,1.17,6.0,1.14,5.47
24,1,Auckland,ASB Classic,2017-01-04,International,Outdoor,Hard,Quarterfinals,3,Davis L.,Strycova B.,61.0,20.0,960.0,2170.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,2.62,1.44,2.4,1.45,2.7,1.48,2.82,1.5,2.95,1.55,2.7,1.45
25,1,Auckland,ASB Classic,2017-01-05,International,Outdoor,Hard,Quarterfinals,3,Ostapenko J.,Brengle M.,44.0,72.0,1225.0,870.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.5,1.55,2.15,1.57,2.38,1.57,2.6,1.67,2.6,1.56,2.39
26,1,Auckland,ASB Classic,2017-01-05,International,Outdoor,Hard,Quarterfinals,3,Konjuh A.,Osaka N.,47.0,48.0,1189.0,1161.0,3.0,0.0,,,,,0.0,0.0,Retired,2.1,1.66,2.1,1.58,2.0,1.8,2.13,1.82,2.2,1.83,2.11,1.7
27,1,Auckland,ASB Classic,2017-01-05,International,Outdoor,Hard,Quarterfinals,3,Goerges J.,Wozniacki C.,53.0,19.0,1110.0,2185.0,1.0,6.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,3.4,1.3,3.3,1.25,3.4,1.33,3.54,1.36,3.7,1.36,3.46,1.3
28,1,Auckland,ASB Classic,2017-01-06,International,Outdoor,Hard,Semifinals,3,Davis L.,Ostapenko J.,61.0,44.0,960.0,1225.0,4.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,Retired,2.0,1.72,1.95,1.68,1.91,1.91,1.97,1.95,2.0,2.0,1.94,1.85
29,1,Auckland,ASB Classic,2017-01-06,International,Outdoor,Hard,Semifinals,3,Konjuh A.,Goerges J.,47.0,53.0,1189.0,1110.0,6.0,3.0,4.0,6.0,6.0,3.0,2.0,1.0,Completed,2.0,1.8,1.95,1.68,2.0,1.73,2.09,1.85,2.1,1.85,2.04,1.76
30,1,Auckland,ASB Classic,2017-01-07,International,Outdoor,Hard,The Final,3,Davis L.,Konjuh A.,61.0,47.0,960.0,1189.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,2.37,1.57,2.0,1.65,2.38,1.57,2.35,1.68,2.4,1.75,2.26,1.63
31,2,Brisbane,Brisbane International,2017-01-01,Premier,Outdoor,Hard,1st Round,3,Mchale C.,Errani S.,45.0,49.0,1225.0,1155.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.66,2.1,1.65,1.95,1.73,2.1,1.68,2.3,1.8,2.3,1.69,2.13
32,2,Brisbane,Brisbane International,2017-01-01,Premier,Outdoor,Hard,1st Round,3,Rogers S.,Bouchard E.,59.0,46.0,977.0,1210.0,6.0,2.0,2.0,6.0,6.0,1.0,2.0,1.0,Completed,2.62,1.44,2.35,1.48,2.38,1.57,2.63,1.54,2.71,1.57,2.52,1.51
33,2,Brisbane,Brisbane International,2017-01-01,Premier,Outdoor,Hard,1st Round,3,Cornet A.,Vesnina E.,41.0,16.0,1242.0,2252.0,3.0,6.0,6.0,4.0,7.0,6.0,2.0,1.0,Completed,1.83,1.83,1.75,1.85,1.73,2.1,1.92,1.97,1.95,2.2,1.81,1.97
34,2,Brisbane,Brisbane International,2017-01-01,Premier,Outdoor,Hard,1st Round,3,Pliskova Ka.,Putintseva Y.,6.0,33.0,4600.0,1450.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.28,3.5,1.22,3.3,1.3,3.5,1.32,3.72,1.34,4.0,1.29,3.46
35,2,Brisbane,Brisbane International,2017-01-01,Premier,Outdoor,Hard,1st Round,3,Kasatkina D.,Begu I.,26.0,29.0,1630.0,1531.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.5,1.42,2.4,1.5,2.62,1.49,2.8,1.53,2.8,1.48,2.62
36,2,Brisbane,Brisbane International,2017-01-01,Premier,Outdoor,Hard,1st Round,3,Doi M.,Makarova E.,40.0,30.0,1245.0,1530.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,3.4,1.3,3.1,1.28,3.0,1.36,3.38,1.36,3.4,1.38,3.16,1.34
37,2,Brisbane,Brisbane International,2017-01-02,Premier,Outdoor,Hard,1st Round,3,Svitolina E.,Puig M.,14.0,32.0,2895.0,1490.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.5,2.5,1.45,2.4,1.53,2.5,1.49,2.8,1.55,2.8,1.5,2.55
38,2,Brisbane,Brisbane International,2017-01-02,Premier,Outdoor,Hard,1st Round,3,Vinci R.,Bondarenko K.,18.0,68.0,2210.0,890.0,7.0,6.0,6.0,7.0,7.0,6.0,2.0,1.0,Completed,,,,,,,,,,,,
39,2,Brisbane,Brisbane International,2017-01-02,Premier,Outdoor,Hard,1st Round,3,Kuznetsova S.,Chirico L.,9.0,67.0,4115.0,908.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.28,3.5,1.25,3.3,1.25,3.5,1.29,3.98,1.34,3.98,1.29,3.54
40,2,Brisbane,Brisbane International,2017-01-02,Premier,Outdoor,Hard,1st Round,3,Muhammad A.,Vekic D.,189.0,99.0,286.0,658.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.72,2.0,1.68,1.95,1.85,1.95,1.78,2.14,1.91,2.14,1.76,2.03
41,2,Brisbane,Brisbane International,2017-01-02,Premier,Outdoor,Hard,1st Round,3,Muguruza G.,Stosur S.,7.0,21.0,4236.0,2115.0,7.0,5.0,6.0,7.0,7.0,5.0,2.0,1.0,Completed,1.3,3.4,1.3,2.9,1.36,3.25,1.35,3.46,1.36,3.46,1.33,3.23
42,2,Brisbane,Brisbane International,2017-01-02,Premier,Outdoor,Hard,1st Round,3,Zhang S.,Siegemund L.,23.0,31.0,1860.0,1513.0,4.0,6.0,7.0,6.0,6.0,3.0,2.0,1.0,Completed,1.53,2.37,1.48,2.3,1.73,2.1,1.65,2.37,1.73,2.42,1.63,2.24
43,2,Brisbane,Brisbane International,2017-01-02,Premier,Outdoor,Hard,1st Round,3,Barty A.,Krunic A.,271.0,141.0,167.0,419.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,2.2,1.61,2.1,1.58,2.1,1.73,2.23,1.72,2.3,1.77,2.18,1.66
44,2,Brisbane,Brisbane International,2017-01-03,Premier,Outdoor,Hard,1st Round,3,Aiava D.,Mattek-Sands B.,386.0,177.0,92.0,319.0,2.0,6.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,2.75,1.4,2.65,1.38,2.75,1.44,2.91,1.46,3.1,1.51,2.78,1.42
45,2,Brisbane,Brisbane International,2017-01-03,Premier,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Muhammad A.,6.0,189.0,4600.0,286.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.11,6.5,1.08,5.5,1.12,6.0,1.11,8.04,1.13,8.04,1.1,6.59
46,2,Brisbane,Brisbane International,2017-01-03,Premier,Outdoor,Hard,2nd Round,3,Cornet A.,Mchale C.,41.0,45.0,1242.0,1225.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.83,1.83,1.72,1.88,1.8,2.0,1.98,1.93,1.98,2.0,1.9,1.88
47,2,Brisbane,Brisbane International,2017-01-03,Premier,Outdoor,Hard,2nd Round,3,Svitolina E.,Rogers S.,14.0,59.0,2895.0,977.0,7.0,5.0,2.0,6.0,7.0,5.0,2.0,1.0,Completed,1.14,5.5,1.2,3.75,1.22,4.33,1.17,5.98,1.22,5.98,1.16,5.14
48,2,Brisbane,Brisbane International,2017-01-03,Premier,Outdoor,Hard,2nd Round,3,Muguruza G.,Kasatkina D.,7.0,26.0,4236.0,1630.0,7.0,5.0,3.0,6.0,7.0,6.0,2.0,1.0,Completed,1.66,2.1,1.6,2.1,1.67,2.2,1.76,2.19,1.8,2.2,1.71,2.1
49,2,Brisbane,Brisbane International,2017-01-04,Premier,Outdoor,Hard,2nd Round,3,Cibulkova D.,Zhang S.,5.0,23.0,4875.0,1860.0,2.0,6.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.36,3.0,1.38,2.65,1.4,3.0,1.46,2.93,1.46,3.0,1.41,2.83
50,2,Brisbane,Brisbane International,2017-01-04,Premier,Outdoor,Hard,2nd Round,3,Kuznetsova S.,Aiava D.,9.0,386.0,4115.0,92.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.11,6.5,1.08,5.5,1.11,6.5,1.15,6.48,1.15,7.0,1.12,6.12
51,2,Brisbane,Brisbane International,2017-01-04,Premier,Outdoor,Hard,2nd Round,3,Vinci R.,Doi M.,18.0,40.0,2210.0,1245.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.8,1.9,1.72,1.88,1.8,2.0,1.85,2.07,1.91,2.07,1.81,1.96
