1,"WHITE, Sean",A16 / 36 ,FENCERS ,Metro NYC ,USA ,6 ,1.00 ,29 ,13 ,+16 ,
2,"CANAUX, Gabriel",A17 / 14 ,,New Jersey ,USA ,6 ,1.00 ,28 ,12 ,+16 ,
3,"WILSON, Sean",A17 / 25 ,ALLIANCE F.A. ,Capitol ,USA ,5 ,1.00 ,25 ,13 ,+12 ,
4,"RODNEY, Adam",A16 / 3 ,,Metro NYC ,USA ,5 ,1.00 ,25 ,16 ,+9 ,
5,"SHINDLER, Oliver",A16 / 50 ,,Illinois ,USA ,6 ,1.00 ,28 ,22 ,+6 ,
6,"NOLLNER, Dylan",A16 / 27 ,,Metro NYC ,USA ,5 ,0.83 ,29 ,14 ,+15 ,
7,"YERGLER, Jonathan",A15 / 19 ,UNAT / SFFC ,Metro NYC ,USA ,5 ,0.83 ,28 ,15 ,+13 ,
8,"BLAIS-BELANGER, Marc-Antoine",A17 / 34 ,,,CAN ,5 ,0.83 ,23 ,10 ,+13 ,
9,"EWART, Stephen",A17 / 9 ,SWORDS / NOTREDAME ,Southern CA ,USA ,5 ,0.83 ,29 ,17 ,+12 ,
10T,"BRATTON, Benjamin",A17 / 1 ,,Metro NYC ,USA ,5 ,0.83 ,28 ,16 ,+12 ,
10T,"RAYNIS, Jake",A17 / 22 ,LAIFC ,Southern CA ,USA ,5 ,0.83 ,28 ,16 ,+12 ,
12T,"ELASHRY, Zeyad",A16 / 20 ,FSA ,Maryland ,USA ,5 ,0.83 ,28 ,17 ,+11 ,
12T,"JOHNSON, Wesley",A17 / 21 ,SF ,Utah-S.Idaho ,USA ,5 ,0.83 ,28 ,17 ,+11 ,
14,"BISSINGER, Michael",A17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,27 ,16 ,+11 ,
15,"WEISS, Lewis",A17 / 7 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,24 ,14 ,+10 ,
16,"HERBST, Isaac",A17 / 31 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,28 ,21 ,+7 ,
17,"SCHUMACHER, Cooper",A17 / 4 ,FENCERS ,Metro NYC ,USA ,5 ,0.83 ,27 ,20 ,+7 ,
18,"FRANK, Timmy",A17 / 75 ,NWFC ,Oregon ,USA ,4 ,0.80 ,24 ,14 ,+10 ,
19,"SIMMONS, Ariel",A17 / 15 ,NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.80 ,23 ,13 ,+10 ,
20,"WIEDER, Benjamin",B17 / 91 ,NYAC / MEDEO F.C. ,New Jersey ,USA ,4 ,0.80 ,24 ,15 ,+9 ,
21,"CHO, Jonah",A17 ,LAIFC ,Orange Coast ,USA ,4 ,0.80 ,20 ,12 ,+8 ,
22,"HANAHAN, Nicholas",A17 / 24 ,UNAT / NOTREDAME ,Indiana ,USA ,4 ,0.80 ,17 ,9 ,+8 ,
23,"PRYOR, Jason",A17 / 2 ,,Colorado ,USA ,4 ,0.80 ,22 ,17 ,+5 ,
24,"GUINAN, Joseph",B17 ,,,USA ,4 ,0.67 ,27 ,15 ,+12 ,
25,"ZILINSKIY, Eduard",A17 ,TOUCHE / TEAMTOUCHE ,Central CA ,USA ,4 ,0.67 ,27 ,17 ,+10 ,
26,"SLESS, Alexander",A17 ,UIW FENCING CENTER ,South TX ,USA ,4 ,0.67 ,27 ,18 ,+9 ,
27,"MCDOWALD, Curtis",A17 / 12 ,,Metro NYC ,USA ,4 ,0.67 ,28 ,21 ,+7 ,
28,"SHERRILL, Edward",A15 / 59 ,,Metro NYC ,USA ,4 ,0.67 ,26 ,19 ,+7 ,
29,"YOO, Justin",A17 / 11 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,25 ,18 ,+7 ,
30T,"KAULL, James",A17 / 6 ,UNAT / DCFC ,Metro NYC ,USA ,4 ,0.67 ,24 ,17 ,+7 ,
30T,"KOCH, Samuel",A17 / 26 ,UNAT / GOLD GATE ,Northern CA ,USA ,4 ,0.67 ,24 ,17 ,+7 ,
32,"HOYLE, Jacob",A17 / 5 ,,Metro NYC ,USA ,4 ,0.67 ,27 ,21 ,+6 ,
33,"SMITH, Dwight",A15 / 44 ,,Metro NYC ,USA ,4 ,0.67 ,26 ,20 ,+6 ,
34,"SMOAK, Omari",A17 / 31 ,,Metro NYC ,USA ,4 ,0.67 ,25 ,19 ,+6 ,
35,"MOORE, Shomari",A16 ,STJOHNNCAA / PETERWE ,Metro NYC ,USA ,4 ,0.67 ,24 ,18 ,+6 ,
36,"WANG, Bowen",A17 ,NCFDP / RTF ,N. Carolina ,CHN ,4 ,0.67 ,28 ,23 ,+5 ,
37,"COMES, Matthew",A17 / 84 ,W.F.A. ,Western WA ,USA ,4 ,0.67 ,27 ,22 ,+5 ,
38,"KRAFT, Dennis",A17 / 13 ,LIGONIER / DCFC ,Central PA ,USA ,4 ,0.67 ,26 ,21 ,+5 ,
39T,"MACZIK, Adam",A17 / 44 ,MARX FENCING ,New England ,USA ,4 ,0.67 ,25 ,20 ,+5 ,
39T,"CONNOR, Ryan",A17 / 86 ,MARX FENCING ,New England ,USA ,4 ,0.67 ,25 ,20 ,+5 ,
41,"PISKOVATSKOV, Anton",A17 / 10 ,PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,23 ,18 ,+5 ,
