#
# Distribution of out-degrees of nodes. G(963, 29581). 172 (0.1786) nodes with out-deg > avg deg (61.4), 75 (0.0779) with >2*avg.deg (Thu Nov  8 20:27:46 2018)
#
# Out-degree	Count
0	3
1	247
2	101
3	61
4	36
5	34
6	21
7	22
8	19
9	15
10	8
11	10
12	13
13	8
14	10
15	10
16	9
17	7
18	8
19	7
20	3
21	6
22	4
23	5
24	4
25	4
26	8
27	8
28	7
29	5
30	5
31	6
32	2
33	2
34	2
35	3
36	3
37	1
38	4
39	1
40	4
41	7
42	6
43	4
44	3
45	1
46	2
48	3
49	3
50	2
51	3
52	2
53	4
54	3
55	3
57	1
58	3
59	3
61	2
62	3
63	1
64	2
67	1
69	1
70	3
71	7
72	3
73	2
74	3
75	1
77	1
78	4
79	1
80	1
81	5
82	2
83	1
85	2
86	3
87	4
88	3
89	2
90	1
91	3
93	1
94	2
96	2
100	1
102	2
103	2
104	2
106	2
107	1
108	1
109	2
110	2
111	2
113	2
115	1
116	3
117	2
118	2
119	2
120	1
121	1
122	1
123	2
124	2
125	3
126	2
127	2
129	2
130	1
131	1
132	1
134	3
136	2
138	1
140	1
141	1
147	1
149	1
150	1
151	2
152	2
153	1
157	2
161	3
163	1
164	1
166	4
168	1
175	2
177	1
178	1
179	1
183	1
189	1
196	2
198	2
208	2
213	1
216	1
219	1
222	1
223	1
224	1
225	1
227	1
229	1
230	1
232	1
238	1
239	1
240	1
241	1
245	1
252	1
253	1
