#
# Distribution of in-degrees of nodes. G(6832, 36387). 953 (0.1395) nodes with in-deg > avg deg (10.7), 396 (0.0580) with >2*avg.deg (Thu Nov  8 20:26:35 2018)
#
# In-degree	Count
0	1668
1	1503
2	819
3	525
4	368
5	265
6	212
7	189
8	123
9	114
10	93
11	93
12	77
13	80
14	49
15	43
16	43
17	47
18	34
19	33
20	33
21	25
22	34
23	23
24	20
25	11
26	23
27	14
28	10
29	15
30	12
31	9
32	8
33	19
34	10
35	12
36	8
37	9
38	9
39	9
40	10
41	8
42	6
43	9
44	8
45	5
46	5
47	4
48	6
49	4
50	5
51	1
52	5
53	4
54	5
55	3
56	3
57	3
58	3
59	1
60	2
61	4
62	3
63	2
65	1
66	1
67	3
69	1
70	3
71	2
72	2
73	3
76	1
77	2
78	1
80	2
81	1
83	1
85	1
87	2
88	2
94	1
103	1
109	1
