#
# Distribution of in-degrees of nodes. G(1485, 52283). 201 (0.1354) nodes with in-deg > avg deg (70.4), 119 (0.0801) with >2*avg.deg (Thu Nov  8 20:27:23 2018)
#
# In-degree	Count
0	537
1	214
2	96
3	44
4	36
5	35
6	26
7	13
8	19
9	13
10	14
11	7
12	8
13	8
14	10
15	7
16	10
17	5
18	5
19	10
20	7
21	5
22	4
23	4
24	3
25	5
26	6
27	6
28	9
29	4
30	4
31	3
32	7
33	5
34	2
35	5
36	6
37	2
38	5
39	3
40	4
41	4
42	3
43	3
44	4
45	3
46	3
47	8
48	1
49	1
51	3
53	1
54	1
55	2
56	3
57	1
58	1
59	1
60	4
61	1
62	3
63	2
64	3
65	2
66	1
67	2
68	4
69	1
70	2
72	2
73	1
74	2
76	3
77	2
78	1
79	1
80	1
82	1
83	2
84	5
85	3
86	3
87	3
88	2
89	2
91	1
92	2
94	1
95	1
96	2
97	2
98	1
99	1
100	2
101	1
104	1
105	2
106	1
107	1
109	4
111	1
112	1
113	4
114	1
115	1
117	1
118	1
119	1
120	1
122	1
124	3
125	1
126	1
127	1
130	1
134	1
137	1
139	1
140	2
141	1
142	1
145	1
146	2
147	3
149	1
153	1
157	2
159	2
161	2
167	2
169	2
170	1
175	1
178	1
179	2
181	2
182	1
184	1
185	1
186	1
187	1
189	1
190	2
191	1
193	1
196	1
200	1
202	1
206	2
207	2
211	1
213	1
214	1
215	1
218	3
220	1
221	1
222	1
223	2
227	1
235	1
237	1
241	1
245	1
254	1
255	1
263	1
266	1
268	2
269	2
272	1
274	1
278	1
285	1
290	1
291	1
303	1
306	1
307	1
310	1
320	1
324	1
327	1
328	1
329	1
330	1
343	1
344	1
347	1
350	1
357	1
360	2
365	1
373	1
385	1
386	1
403	1
409	1
420	1
422	1
429	1
440	1
442	1
445	1
460	1
463	1
465	1
471	1
506	2
514	1
518	1
577	1
580	1
624	1
691	1
798	1
891	1
1119	1
