#
# Distribution of in-degrees of nodes. G(963, 29581). 138 (0.1433) nodes with in-deg > avg deg (61.4), 70 (0.0727) with >2*avg.deg (Thu Nov  8 20:27:46 2018)
#
# In-degree	Count
0	327
1	122
2	63
3	37
4	24
5	18
6	10
7	21
8	12
9	7
10	6
11	10
12	7
13	8
14	8
15	4
16	5
17	6
18	5
19	8
20	3
21	5
22	4
23	4
24	7
25	5
26	5
28	2
29	2
30	5
31	2
32	4
33	5
34	4
35	1
36	2
37	5
38	4
39	1
40	2
41	2
42	2
43	2
45	4
46	1
47	2
48	2
49	3
50	2
52	3
53	3
54	4
55	1
57	3
59	1
60	3
61	7
63	1
64	1
68	1
71	1
72	2
73	1
74	1
75	3
76	2
77	1
78	1
79	1
80	1
81	4
82	1
83	1
86	2
88	4
89	1
90	2
91	1
92	2
93	2
94	1
95	1
97	2
99	2
100	1
101	1
102	1
104	1
106	1
107	2
108	1
109	1
110	1
111	3
113	2
114	1
115	1
116	2
117	2
119	1
120	1
121	1
122	1
126	1
127	1
128	2
130	1
132	1
137	1
139	1
140	2
142	1
144	1
148	1
149	2
152	1
154	1
156	1
159	1
160	1
169	1
170	1
172	1
173	1
181	2
183	1
185	1
191	1
195	1
201	1
206	2
207	1
209	1
218	1
219	1
221	1
235	1
239	1
247	2
248	1
250	1
252	1
261	1
269	1
273	1
277	1
279	1
285	1
303	1
311	1
315	1
321	1
324	1
350	1
351	1
354	1
362	1
363	1
372	2
381	1
392	1
408	1
434	1
461	1
501	1
566	1
