#
# Distribution of out-degrees of nodes. G(1485, 52283). 245 (0.1650) nodes with out-deg > avg deg (70.4), 126 (0.0848) with >2*avg.deg (Wed Nov  7 15:01:25 2018)
#
# Out-degree	Count
0	2
1	439
2	166
3	89
4	57
5	47
6	33
7	26
8	31
9	17
10	22
11	17
12	14
13	9
14	1
15	14
16	13
17	13
18	7
19	13
20	7
21	5
22	4
23	6
24	7
25	4
26	8
27	7
28	6
29	5
30	5
31	7
32	3
33	6
34	3
35	4
36	9
37	7
38	3
39	3
40	3
41	1
42	1
43	3
44	1
45	3
46	6
47	4
48	3
49	1
50	3
51	4
52	4
53	4
54	2
55	5
56	2
57	4
58	5
59	4
60	2
61	5
62	5
63	8
64	3
65	2
66	4
67	2
68	3
70	4
72	4
73	2
74	4
75	2
77	4
78	3
79	6
80	5
82	1
83	2
84	3
85	1
86	3
87	1
88	1
89	4
90	1
91	1
92	1
93	4
94	2
95	1
96	2
97	3
98	1
99	1
100	1
101	2
103	1
104	1
105	1
106	2
107	2
108	2
109	1
110	2
111	1
112	2
113	2
114	3
115	3
116	2
117	1
118	2
119	1
120	1
122	1
123	3
124	2
125	2
126	2
127	1
130	3
131	2
134	2
135	1
136	1
137	2
139	1
143	2
144	1
145	1
146	1
147	3
149	1
150	2
152	2
157	1
159	1
161	1
163	2
164	2
166	1
167	3
168	1
169	1
170	1
171	1
172	1
173	2
176	1
177	2
178	1
179	1
180	1
182	2
183	1
184	3
185	1
187	1
188	2
189	1
190	2
193	2
194	1
195	1
196	2
197	1
199	1
200	3
201	3
206	1
210	2
211	2
213	2
214	1
215	3
216	2
219	1
221	1
224	1
225	1
228	1
229	1
230	1
231	1
232	3
237	1
242	1
245	1
249	1
250	3
254	2
256	1
260	1
262	2
263	1
265	1
269	1
271	1
273	1
275	1
276	1
286	1
290	1
292	1
297	1
303	1
310	1
311	1
314	1
325	1
332	1
335	1
342	1
344	1
348	1
361	1
381	1
401	1
415	1
